CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Wagon R 1.0,"2,40,000",2010,"62,714 KM",PETROL,"Tathawade, Pune"
Maruti Swift Dzire,"5,21,000",2012,"97,308 KM",DIESEL,"Tathawade, Pune"
Tata Tiago,"5,13,000",2018,"27,947 KM",PETROL,"Undri, Pune"
Maruti Ritz,"2,76,000",2010,"96,425 KM",DIESEL,"Undri, Pune"
Honda Jazz,"5,49,000",2017,"59,541 KM",PETROL,"Tathawade, Pune"
Hyundai Elite i20,"5,26,000",2016,"15,176 KM",PETROL,"Undri, Pune"
Honda Brio,"3,49,000",2016,"34,456 KM",PETROL,"Tathawade, Pune"
Hyundai Eon,"2,64,000",2014,"73,651 KM",PETROL,"Undri, Pune"
Maruti Swift,"6,06,000",2018,"41,628 KM",PETROL,"Tathawade, Pune"
Hyundai Creta,"15,72,000",2021,"55,644 KM",PETROL,"Tathawade, Pune"
Maruti Wagon R 1.0,"3,56,000",2014,"95,733 KM",CNG,"Undri, Pune"
Maruti Swift,"2,40,000",2010,"82,669 KM",PETROL,"Undri, Pune"
KIA SONET,"9,50,000",2021,"27,474 KM",PETROL,"Tathawade, Pune"
Honda City,"8,46,000",2018,"36,438 KM",PETROL,"Undri, Pune"
Tata NEXON,"12,42,000",2022,"4,391 KM",PETROL,"Undri, Pune"
Maruti Baleno,"6,11,000",2017,"45,708 KM",PETROL,"Undri, Pune"
Honda City,"3,60,000",2012,"90,863 KM",PETROL,"Undri, Pune"
Hyundai Grand i10,"5,11,000",2017,"62,055 KM",PETROL,"Tathawade, Pune"
Renault Kwid,"3,37,000",2016,"26,388 KM",PETROL,"Undri, Pune"
Maruti Wagon R 1.0,"3,79,000",2017,"25,625 KM",PETROL,"Undri, Pune"
Maruti Alto 800,"2,60,000",2013,"1,12,975 KM",CNG,"Undri, Pune"
Maruti Alto,"4,45,000",2020,"28,143 KM",CNG,"Tathawade, Pune"
Volkswagen Polo,"7,15,000",2018,"96,274 KM",PETROL,"Undri, Pune"
Maruti Baleno,"6,32,000",2019,"53,773 KM",PETROL,"Undri, Pune"
Toyota Etios,"3,01,000",2011,"57,812 KM",PETROL,"Undri, Pune"
Maruti Baleno,"6,62,000",2020,"63,394 KM",PETROL,"Undri, Pune"
Maruti Baleno,"6,44,000",2020,"34,367 KM",PETROL,"Undri, Pune"
Maruti IGNIS,"5,33,000",2017,"28,135 KM",PETROL,"Undri, Pune"
Maruti Vitara Brezza,"7,53,000",2016,"79,221 KM",DIESEL,"Undri, Pune"
Hyundai Grand i10,"4,46,000",2015,"42,401 KM",PETROL,"Undri, Pune"
Maruti Dzire,"7,21,000",2019,"34,869 KM",PETROL,"Undri, Pune"
Datsun Redi Go,"3,44,000",2018,"59,750 KM",PETROL,"Tathawade, Pune"
Maruti Ciaz,"5,82,000",2016,"87,335 KM",CNG,"Tathawade, Pune"
Maruti Celerio,"4,46,000",2017,"46,226 KM",PETROL,"Undri, Pune"
Maruti Ritz,"2,31,000",2011,"81,162 KM",PETROL,"Tathawade, Pune"
KIA SELTOS,"18,04,000",2022,"5,046 KM",PETROL,"Undri, Pune"
Maruti Alto 800,"3,60,000",2017,"31,905 KM",CNG,"Undri, Pune"
KIA SELTOS,"13,26,000",2021,"20,474 KM",PETROL,"Undri, Pune"
Tata TIGOR,"5,38,000",2017,"62,756 KM",PETROL,"Tathawade, Pune"
Maruti Alto K10,"1,98,000",2011,"35,072 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"4,93,000",2014,"21,233 KM",PETROL,"Undri, Pune"
Mahindra KUV 100 NXT,"5,59,000",2018,"47,726 KM",DIESEL,"Undri, Pune"
Honda City,"11,36,000",2019,"39,203 KM",DIESEL,"Tathawade, Pune"
Maruti Baleno,"6,92,000",2017,"30,830 KM",PETROL,"Tathawade, Pune"
Hyundai Grand i10,"4,62,000",2016,"78,096 KM",CNG,"Undri, Pune"
Maruti Wagon R 1.0,"3,40,000",2014,"90,813 KM",CNG,"Tathawade, Pune"
Maruti Ertiga,"6,17,000",2012,"68,479 KM",PETROL,"Undri, Pune"
Honda City,"4,00,000",2012,"39,583 KM",PETROL,"Undri, Pune"
Maruti Wagon R 1.0,"4,24,000",2017,"59,896 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"3,43,000",2017,"48,009 KM",CNG,"Undri, Pune"
Maruti Wagon R 1.0,"3,33,000",2015,"64,749 KM",PETROL,"Tathawade, Pune"
Hyundai Elite i20,"4,98,400",2016,"1,19,228 KM",PETROL,"Undri, Pune"
Maruti Alto 800,"2,78,000",2017,"84,685 KM",PETROL,"Tathawade, Pune"
Honda Jazz,"5,39,000",2017,"42,320 KM",PETROL,"Undri, Pune"
Maruti Ertiga,"9,53,000",2017,"40,562 KM",DIESEL,"Tathawade, Pune"
Maruti Ciaz,"5,08,000",2014,"94,028 KM",DIESEL,"Undri, Pune"
Renault TRIBER,"6,92,000",2022,"14,386 KM",PETROL,"Tathawade, Pune"
Maruti Ritz,"3,35,000",2013,"51,250 KM",PETROL,"Undri, Pune"
Mahindra XUV500,"15,75,000",2019,"16,818 KM",DIESEL,"Undri, Pune"
Jeep Compass,"17,09,000",2020,"29,181 KM",DIESEL,"Tathawade, Pune"
Maruti Alto 800,"2,88,000",2017,"61,732 KM",PETROL,"Undri, Pune"
Maruti Swift,"3,64,000",2012,"1,15,917 KM",DIESEL,"Tathawade, Pune"
Hyundai i10,"2,75,000",2011,"52,419 KM",PETROL,"Undri, Pune"
Toyota Corolla Altis,"8,01,000",2014,"95,866 KM",PETROL,"Tathawade, Pune"
Hyundai Creta,"9,46,000",2016,"74,720 KM",DIESEL,"Tathawade, Pune"
Honda WR-V,"6,39,000",2017,"81,327 KM",DIESEL,"Tathawade, Pune"
Skoda Rapid,"8,90,000",2020,"64,348 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"3,56,000",2012,"84,351 KM",PETROL,"Undri, Pune"
Hyundai i20,"3,50,000",2012,"24,965 KM",PETROL,"Undri, Pune"
Jeep Compass,"12,71,000",2018,"47,121 KM",DIESEL,"Tathawade, Pune"
Maruti Ciaz,"5,24,000",2016,"93,385 KM",PETROL,"Undri, Pune"
Maruti S PRESSO,"4,65,000",2020,"16,428 KM",PETROL,"Undri, Pune"
Mahindra XUV 3OO,"9,20,000",2021,"79,714 KM",DIESEL,"Tathawade, Pune"
Maruti Wagon R 1.0,"3,53,000",2015,"88,799 KM",CNG,"Undri, Pune"
Honda Civic,"17,19,000",2019,"46,562 KM",DIESEL,"Tathawade, Pune"
Hyundai Creta,"16,77,000",2021,"5,577 KM",PETROL,"Undri, Pune"
Tata ALTROZ,"8,63,000",2021,"51,956 KM",DIESEL,"Undri, Pune"
Hyundai Eon,"2,92,000",2014,"23,636 KM",PETROL,"Tathawade, Pune"
Honda Jazz,"5,34,000",2017,"66,247 KM",PETROL,"Tathawade, Pune"
Tata NEXON,"8,24,000",2019,"71,259 KM",DIESEL,"Tathawade, Pune"
Skoda Octavia,"12,25,000",2017,"1,25,006 KM",DIESEL,"Tathawade, Pune"
Maruti Alto 800,"3,01,000",2018,"37,910 KM",PETROL,"Undri, Pune"
Honda Amaze,"7,62,000",2019,"91,537 KM",DIESEL,"Tathawade, Pune"
Hyundai GRAND I10 NIOS,"7,00,000",2020,"19,115 KM",PETROL,"Tathawade, Pune"
Maruti Ertiga,"5,14,000",2012,"68,138 KM",PETROL,"Tathawade, Pune"
Renault Duster,"8,48,000",2019,"12,311 KM",DIESEL,"Tathawade, Pune"
Hyundai Grand i10,"4,77,000",2016,"17,790 KM",PETROL,"Tathawade, Pune"
Maruti Celerio X,"4,48,000",2018,"1,00,854 KM",CNG,"Tathawade, Pune"
Maruti Swift,"4,85,000",2015,"52,897 KM",PETROL,"Undri, Pune"
Ford New Figo,"5,98,000",2019,"43,529 KM",PETROL,"Tathawade, Pune"
Honda Brio,"3,47,000",2014,"61,519 KM",PETROL,"Tathawade, Pune"
Renault TRIBER,"6,03,000",2019,"59,105 KM",PETROL,"Undri, Pune"
Honda City,"4,04,000",2012,"77,267 KM",PETROL,"Tathawade, Pune"
Hyundai i10,"3,21,000",2013,"50,353 KM",PETROL,"Undri, Pune"
Maruti Swift Dzire,"4,90,000",2014,"95,257 KM",PETROL,"Tathawade, Pune"
Maruti New Wagon-R,"6,43,000",2021,"53,937 KM",CNG,"Tathawade, Pune"
Ford Ecosport,"8,42,000",2018,"45,686 KM",DIESEL,"Undri, Pune"
Hyundai Verna,"9,96,000",2018,"98,660 KM",DIESEL,"Tathawade, Pune"
Hyundai i10,"2,82,000",2011,"40,771 KM",PETROL,"Undri, Pune"
Hyundai NEW SANTRO,"5,24,000",2020,"49,799 KM",CNG,"Tathawade, Pune"
Volkswagen Ameo,"5,84,000",2017,"23,790 KM",PETROL,"Undri, Pune"
Maruti Ciaz,"4,83,000",2015,"1,15,379 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"2,64,200",2013,"89,215 KM",CNG,"Undri, Pune"
Renault Kwid,"4,66,000",2021,"4,782 KM",PETROL,"Tathawade, Pune"
Jeep Compass,"11,83,000",2018,"94,249 KM",DIESEL,"Tathawade, Pune"
Hyundai Creta,"7,95,000",2016,"94,823 KM",PETROL,"Undri, Pune"
Maruti Celerio X,"5,38,000",2018,"33,189 KM",PETROL,"Undri, Pune"
Maruti Swift,"5,37,000",2014,"62,238 KM",DIESEL,"Undri, Pune"
Hyundai Grand i10,"5,47,000",2017,"23,315 KM",PETROL,"Tathawade, Pune"
Renault Kwid,"5,26,000",2021,"39,526 KM",PETROL,"Undri, Pune"
Maruti Wagon R 1.0,"3,42,000",2014,"99,368 KM",CNG,"Tathawade, Pune"
Maruti S PRESSO,"4,55,000",2021,"25,034 KM",PETROL,"Tathawade, Pune"
Maruti Wagon R 1.0,"3,48,000",2014,"90,534 KM",CNG,"Tathawade, Pune"
Hyundai Verna,"6,95,000",2015,"86,315 KM",DIESEL,"Tathawade, Pune"
Tata Harrier,"19,53,000",2021,"65,036 KM",DIESEL,"Tathawade, Pune"
