CarName,Price,Year,KilometersDriven,Fuel Type,Location
Renault Kwid,"4,62,000",2020,"22,475 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Hyundai i10,"1,41,000",2010,"55,856 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Maruti Baleno,"4,81,000",2016,"84,522 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Tata NEXON,"8,87,000",2020,"49,718 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Vitara Brezza,"7,63,000",2019,"20,806 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Honda Brio,"4,31,000",2016,"30,752 KM",PETROL,"Sector-18, Noida"
Hyundai Elite i20,"5,73,000",2017,"66,802 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Baleno,"5,62,000",2017,"18,463 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Honda Amaze,"6,41,000",2021,"16,056 KM",PETROL,"Chhatarpur, Delhi"
Maruti Ciaz,"7,66,000",2018,"63,816 KM",PETROL,"Chhatarpur, Delhi"
Maruti Dzire,"5,27,000",2018,"48,162 KM",PETROL,"Sector-18, Noida"
Tata NEXON,"6,58,000",2019,"69,317 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Swift,"5,31,000",2019,"37,400 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Vitara Brezza,"7,92,000",2019,"1,02,511 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Maruti Wagon R 1.0,"3,22,000",2017,"60,482 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Baleno,"4,88,000",2017,"22,956 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Wagon R 1.0,"1,81,000",2011,"75,861 KM",PETROL,"Parsvnath City Mall, Faridabad"
Volkswagen Vento,"2,49,000",2010,"74,369 KM",PETROL,"Vasant Kunj, New Delhi"
Honda Amaze,"4,45,000",2017,"31,433 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Baleno,"6,72,000",2020,"20,856 KM",PETROL,"Vasant Kunj, New Delhi"
Maruti Swift,"5,50,000",2019,"32,501 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Vitara Brezza,"7,44,000",2018,"69,943 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Maruti New Wagon-R,"4,51,000",2019,"97,574 KM",CNG,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Celerio,"3,64,000",2016,"98,397 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Swift,"4,26,000",2016,"58,408 KM",PETROL,"Parsvnath City Mall, Faridabad"
Jeep Compass,"15,15,000",2019,"8,541 KM",DIESEL,"Sector-18, Noida"
Renault Kwid,"5,48,000",2022,"16,209 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti XL6,"9,10,000",2019,"61,577 KM",PETROL,"Parsvnath City Mall, Faridabad"
Honda City,"6,06,000",2015,"71,136 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Ciaz,"7,57,000",2018,"39,325 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Tata Harrier,"13,37,000",2019,"52,860 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Hyundai Creta,"7,06,000",2015,"62,617 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti IGNIS,"5,05,000",2022,"29,120 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti IGNIS,"4,90,000",2021,"12,872 KM",PETROL,"Vasant Kunj, New Delhi"
Maruti Baleno,"5,69,000",2018,"89,202 KM",DIESEL,"Vasant Kunj, New Delhi"
Maruti Baleno,"4,92,000",2018,"49,010 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Honda WR-V,"7,95,000",2020,"89,969 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Maruti Wagon R 1.0,"3,05,000",2015,"65,977 KM",PETROL,"Parsvnath City Mall, Faridabad"
Hyundai Grand i10,"4,43,000",2016,"29,435 KM",CNG,"Chhatarpur, Delhi"
Maruti Baleno,"6,64,000",2019,"36,861 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Honda Amaze,"4,02,000",2016,"1,08,133 KM",PETROL,"Vasant Kunj, New Delhi"
Hyundai Creta,"7,47,000",2016,"57,437 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti New Wagon-R,"4,30,000",2019,"90,671 KM",CNG,"Sector-18, Noida"
Hyundai GRAND I10 NIOS,"6,86,000",2020,"18,253 KM",PETROL,"Chhatarpur, Delhi"
Hyundai Grand i10,"3,78,000",2015,"38,280 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Tata Tiago,"7,19,000",2022,"17,447 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
KIA SELTOS,"12,00,000",2020,"82,433 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Maruti Swift,"2,45,000",2011,"21,840 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Honda WR-V,"6,67,000",2017,"85,482 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Honda Accord,"3,21,000",2010,"49,785 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
MG HECTOR,"17,92,000",2022,"6,493 KM",PETROL,"Sector-18, Noida"
Ford Ecosport,"6,53,000",2018,"92,274 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Honda Brio,"2,90,000",2014,"99,665 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti IGNIS,"4,35,000",2017,"50,688 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Jeep Compass,"15,57,000",2019,"35,191 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Tata PUNCH,"6,23,000",2022,"21,566 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Wagon R 1.0,"1,96,000",2012,"89,199 KM",PETROL,"Chhatarpur, Delhi"
Maruti Baleno,"4,79,000",2017,"65,537 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Nissan MAGNITE,"5,20,000",2021,"21,845 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Baleno,"5,17,000",2017,"25,403 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Honda City,"6,77,000",2016,"81,296 KM",PETROL,"Vasant Kunj, New Delhi"
KIA SONET,"9,97,000",2020,"31,778 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Honda BR-V,"5,88,000",2017,"66,531 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Honda City,"7,14,000",2016,"78,853 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti New Wagon-R,"6,94,000",2023,"3,524 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti BREZZA,"10,99,000",2022,"17,103 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Tata ALTROZ,"7,21,500",2021,"14,640 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Honda Jazz,"4,70,000",2016,"62,526 KM",CNG,"Parsvnath City Mall, Faridabad"
Maruti Celerio,"3,28,000",2016,"46,987 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Renault TRIBER,"6,87,000",2022,"13,915 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Celerio,"3,96,000",2018,"79,923 KM",CNG,"Parsvnath City Mall, Faridabad"
Maruti New Wagon-R,"4,63,000",2019,"29,548 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Baleno,"5,83,000",2020,"61,006 KM",CNG,"Parsvnath City Mall, Faridabad"
Maruti Ertiga,"5,64,000",2014,"43,526 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Hyundai Verna,"9,28,000",2019,"38,986 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Honda City,"5,16,000",2015,"1,09,081 KM",PETROL,"Vasant Kunj, New Delhi"
Maruti Baleno,"5,68,000",2020,"62,365 KM",PETROL,"Parsvnath City Mall, Faridabad"
Tata NEXON,"11,84,000",2022,"24,562 KM",DIESEL,"Spaze Platinum, Sohna Road, Gurugram"
Honda Amaze,"6,85,000",2021,"27,642 KM",PETROL,"Parsvnath City Mall, Faridabad"
Honda City,"3,88,000",2013,"74,017 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Datsun Redi Go,"2,20,000",2018,"59,771 KM",PETROL,"Sector-18, Noida"
Maruti Alto K10,"3,53,000",2018,"24,278 KM",PETROL,"Parsvnath City Mall, Faridabad"
