,Fuel Type,Location,CompanyName,ModelName,Price,Year,KilometersDriven
4823,Diesel,Pune,BMW,5 Series,2475000.0,2016,69000.0
4824,Petrol,Pune,Hyundai,i10,185000.0,2008,55000.0
4825,Diesel,Pune,Audi,A6,1500000.0,2013,75000.0
4826,Diesel,Pune,Kia,Seltos,1725000.0,2021,19000.0
4827,Diesel,Pune,Mercedes-Benz,M-Class,2350000.0,2014,81000.0
4828,Diesel,Pune,Mercedes-Benz,M-Class,2250000.0,2014,81000.0
4829,Petrol,Pune,Maruti,Suzuki Sx4,185000.0,2008,65000.0
4830,Diesel,Pune,BMW,3 Series,1025000.0,2013,86000.0
4831,Petrol,Pune,MG,Hector,2150000.0,2022,2000.0
4832,Diesel,Pune,Toyota,Fortuner,1624000.0,2016,183000.0
4834,Diesel,Pune,Maruti,Suzuki Swift-Dzire,800000.0,2019,59000.0
4835,Petrol,Pune,Hyundai,Verna,795000.0,2018,57000.0
4836,Petrol,Pune,Hyundai,Santro Xing,135000.0,2008,62000.0
4837,Petrol,Pune,Maruti,Suzuki S-Cross1,795000.0,2020,27458.0
4838,Petrol,Pune,Hyundai,Creta,1180000.0,2018,58000.0
4839,Diesel,Pune,Mercedes-Benz,C-Class,1275000.0,2013,75430.0
4840,Cng-hybrid,Pune,Honda,City,340000.0,2010,99400.0
4841,Petrol,Pune,Tata,Nano,88000.0,2011,29900.0
4842,Petrol,Pune,Hyundai,Elite i20,555000.0,2016,19000.0
4843,Cng,Mumbai,Maruti,Ertiga,651000.0,2016,98246.0
4844,Petrol,Mumbai,Hyundai,i10,186000.0,2010,92421.0
4845,Petrol,Mumbai,Toyota,Corolla Altis,490000.0,2012,60438.0
4846,Petrol,Mumbai,Honda,City,488000.0,2014,72419.0
4847,Petrol,Mumbai,Maruti,Alto 800,183000.0,2012,55876.0
4848,Petrol,Mumbai,Honda,City,413000.0,2014,81007.0
4849,Petrol,Mumbai,Hyundai,Verna,495000.0,2014,76611.0
4850,Diesel,Mumbai,Mahindra,XUV500,551000.0,2014,87495.0
4851,Petrol,Mumbai,Renault,Duster,631000.0,2017,68741.0
4852,Petrol,Mumbai,Maruti,Dzire,539000.0,2017,47097.0
4853,Diesel,Mumbai,Volkswagen,Jetta,506000.0,2011,108471.0
4854,Petrol,Mumbai,Maruti,Alto 800,225000.0,2014,25765.0
4855,Petrol,Mumbai,Honda,City,410000.0,2013,45778.0
4856,Petrol,Mumbai,Maruti,Dzire,593000.0,2017,15118.0
4857,Diesel,Mumbai,Maruti,Dzire,702000.0,2018,60461.0
4858,Petrol,Mumbai,Hyundai,Elite i20,428000.0,2014,44771.0
4859,Petrol,Mumbai,Volkswagen,Polo,552000.0,2015,73681.0
4860,Diesel,Mumbai,Maruti,Swift,356000.0,2012,102466.0
4861,Diesel,Mumbai,Honda,City,476000.0,2015,84131.0
4862,Petrol,Mumbai,Renault,Kwid,333000.0,2017,42530.0
4863,Petrol,Mumbai,Honda,BR-V,572000.0,2016,43660.0
4864,Petrol,Mumbai,Hyundai,Grand i10,376000.0,2014,53428.0
4865,Cng,Mumbai,Maruti,Ertiga,718000.0,2016,98401.0
4866,Petrol,Mumbai,Maruti,Alto K10,355000.0,2018,35741.0
4867,Cng,Mumbai,Maruti,Alto 800,361000.0,2019,12290.0
4868,Petrol,Mumbai,Hyundai,Xcent,431000.0,2016,37571.0
4869,Petrol,Mumbai,Volkswagen,Polo,372000.0,2013,74371.0
4870,Petrol,Mumbai,Hyundai,Grand i10,431000.0,2014,23305.0
4871,Diesel,Mumbai,Toyota,Innova,628000.0,2013,67810.0
4872,Petrol,Mumbai,Hyundai,NEW SANTRO,483000.0,2019,17381.0
4873,Petrol,Mumbai,Maruti,Vitara Brezza,716000.0,2020,41594.0
4874,Petrol,Mumbai,Hyundai,NEW SANTRO,443000.0,2018,23157.0
4875,Petrol,Mumbai,Hyundai,Eon,196000.0,2012,16978.0
4876,Cng,Mumbai,Maruti,Wagon R,280000.0,2014,106040.0
4877,Petrol,Mumbai,Maruti,Swift Dzire,250000.0,2011,28970.0
4878,Petrol,Mumbai,Honda,Amaze,383000.0,2016,30050.0
4879,Petrol,Mumbai,Hyundai,Creta,941000.0,2017,86021.0
4880,Petrol,Mumbai,Hyundai,Grand i10,566000.0,2016,27625.0
4881,Petrol,Mumbai,Maruti,Ertiga,641000.0,2016,93277.0
4882,Petrol,Mumbai,Renault,Kwid,465000.0,2021,27960.0
4883,Petrol,Mumbai,Hyundai,i10,268000.0,2013,80058.0
4884,Cng,Mumbai,Maruti,Ertiga,760000.0,2017,110106.0
4885,Cng,Mumbai,Toyota,Etios Liva,297000.0,2015,36339.0
