CarName,Price,Year,KilometersDriven,Fuel Type,Location
Honda Brio,"2,91,000",2013,"65,278 km",Petrol,Vile Parle East
Mahindra XUV500,"10,75,000",2018,"70,000 km",Diesel,Sion East
Land Rover Range Rover,"2,55,00,000",2021,"22,000 km",Diesel,Santacruz West
Maruti Suzuki Wagon-R-1-0,"2,55,000",2012,"77,000 km",CNG & Hybrids,Matunga Road
Volvo XC 90,"13,11,000",2012,"67,999 km",Diesel,Santacruz East
Renault Duster,"7,90,000",2017,"52,000 km",Diesel,Vile Parle East
Honda Jazz,"4,65,000",2015,"115,000 km",Diesel,Vile Parle East
Nissan Terrano,"4,75,000",2014,"68,000 km",Diesel,Vile Parle East
Maruti Suzuki Wagon-R,"4,25,000",2018,"36,000 km",CNG & Hybrids,Vile Parle East
Skoda Kodiaq,"26,50,000",2018,"45,000 km",Diesel,Matunga Road
Skoda Rapid,"4,99,999",2016,"64,000 km",Petrol,Matunga Road
Hyundai Grand i10,"4,49,999",2017,"19,000 km",Petrol,Matunga Road
Ford Ecosport,"6,75,000",2018,"80,841 km",Petrol,Sion West
BMW X5,"80,00,000",2020,"34,000 km",Diesel,Bandra West
Mahindra Bolero Power Plus,"5,65,000",2017,"61,000 km",Diesel,Chembur
Mahindra Bolero Power Plus,"5,65,000",2017,"60,000 km",Diesel,Chembur
Maruti Suzuki Eeco,"4,10,000",2019,"39,600 km",Petrol,Chembur
Mahindra Marazzo,"9,25,000",2018,"58,000 km",Diesel,Chembur
Hyundai Grand i10 Nios,"6,35,000",2020,"26,765 km",Petrol,Chembur
Toyota VELLFIRE,"1,08,00,000",2020,"18,000 km",Petrol,Santacruz West
Maruti Suzuki XL6,"11,85,000",2020,"18,143 km",Petrol,Chembur
Skoda Kushaq,"14,75,000",2021,"38,500 km",Petrol,Chembur
Ford Ecosport,"4,75,000",2013,"77,500 km",Diesel,Chembur
Hyundai i20,"3,95,000",2013,"19,500 km",Petrol,Chembur
Maruti Suzuki Eeco,"3,50,000",2020,"15,000 km",Petrol,Chembur
Maruti Suzuki Eeco,"4,25,000",2018,"28,000 km",CNG & Hybrids,Chembur
Ford Figo,"2,49,999",2011,"33,800 km",Diesel,Bandra West
Tata EV,"15,50,000",2023,"4,300 km",Electric,Vile Parle East
Honda City,"5,65,000",2014,"55,000 km",Petrol,Vile Parle East
Hyundai Creta,"9,25,000",2017,"48,000 km",Petrol,Matunga Road
Mercedes-Benz GLE Class,"75,00,000",2020,"47,000 km",Diesel,Matunga Road
Maruti Suzuki Vitara-Brezza,"8,11,000",2017,"56,242 km",Diesel,Chembur
BMW 5 Series,"38,00,000",2017,"63,000 km",Diesel,Bandra West
Toyota Innova Crysta,"15,99,000",2016,"140,247 km",Diesel,Kurla West
Tata Harrier,"13,00,000",2019,"81,000 km",Diesel,Kurla West
Isuzu D-Max V-Cross,"14,99,000",2018,"56,000 km",Diesel,Waterfield Road Bandra West
Honda Civic,"13,50,000",2019,"32,000 km",Petrol,Bandra West
Honda City,"6,50,000",2016,"40,000 km",Petrol,Dadar East
Mahindra XUV500,"9,95,000",2015,"73,000 km",Diesel,Bandra West
Hyundai i10,"2,95,000",2014,"75,000 km",Petrol,Sion East
Toyota Innova Crysta,"29,99,000",2021,"16,256 km",Diesel,Kurla West
Tata Nexon EV Max,"16,90,000",2022,"13,000 km",Electric,Vile Parle East
Honda City,"6,25,000",2015,"48,000 km",Petrol,Matunga Road
Honda City,"6,49,999",2015,"61,223 km",Petrol,Chembur
Ford Ecosport,"7,85,000",2018,"71,779 km",Petrol,Sion East
Land Rover Range Rover Sport,"58,00,000",2014,"70,000 km",Diesel,Bandra West
Toyota Innova Crysta,"18,51,000",2018,"59,284 km",Diesel,Kurla West
Hummer H2,"69,68,999",2016,"25,000 km",Petrol,Bandra West
Honda Amaze,"4,50,000",2013,"33,000 km",Diesel,Chembur
Honda Amaze,"8,75,000",2018,"47,000 km",Diesel,Chembur
Maruti Suzuki Swift,"6,45,000",2018,"16,000 km",Petrol,Chembur
Audi A6,"19,75,000",2016,"61,000 km",Petrol,Chembur
Tata EV,"13,99,000",2020,"16,000 km",Electric,Chembur
Volkswagen Virtus,"19,75,000",2023,"10,000 km",Petrol,Bandra Kurla Complex
Skoda Kushaq,"16,75,000",2021,"23,000 km",Petrol,Chembur
Mercedes-Benz C-Class,"9,95,000",2013,"58,986 km",Diesel,Vile Parle East
Toyota Innova,"8,25,000",2014,"114,930 km",Diesel,Chembur
Hyundai Verna,"2,50,000",2010,"81,000 km",Diesel,Dadar East
Honda City,"6,85,000",2018,"81,000 km",Petrol,Wadala West
Honda City,"8,75,000",2017,"31,000 km",Petrol,Matunga Road
Hyundai Grand i10,"4,49,999",2016,"16,000 km",Petrol,Matunga Road
Hyundai i20,"4,10,000",2012,"31,000 km",Petrol,Matunga Road
Honda City,"2,20,000",2009,"78,869 km",Petrol,Chembur
Maruti Suzuki Celerio,"4,65,000",2016,"60,657 km",Petrol,Chembur
Hyundai Fluidic Verna,"2,90,000",2012,"71,555 km",Petrol,Chembur
Maruti Suzuki maruti-suzuki-dzire,"6,25,111",2018,"26,500 km",Petrol,Bandra West
Mercedes-Benz CLA,"18,75,000",2016,"51,000 km",Diesel,Bandra West
Mercedes-Benz E-Class,"10,50,000",2012,118000.0 km,Diesel,Bandra West
Hyundai Venue,"11,85,000",2020,"16,000 km",Petrol,Bandra West
Skoda Rapid,"5,75,000",2016,"12,000 km",Petrol,Bandra West
Audi A4,"5,90,000",2008,38000.0 km,Petrol,Bandra West
Isuzu MU-7,"8,50,000",2015,"65,000 km",Diesel,Bandra West
Mercedes-Benz R-Class,"11,25,000",2011,"82,000 km",Petrol,Bandra West
Toyota Innova,"4,50,000",2009,"168,000 km",Diesel,Wadala West
BMW 5 Series,"69,00,000",2022,"2,000 km",Diesel,Santacruz East
Hyundai Creta,"8,95,000",2016,"49,341 km",Petrol,Chembur
Fiat Abarth 595,"6,95,000",2017,"21,000 km",Petrol,Bandra West
Other Brands Others,"6,75,000",1942,50000.0 km,Diesel,Bandra West
Land Rover Range Rover,"11,50,000",2003,"75,000 km",Diesel,Bandra West
Toyota Urban Cruiser,"10,99,000",2020,"3,616 km",Petrol,Kurla West
Mercedes-Benz E-Class,"8,75,000",2011,"129,000 km",Diesel,Chembur
Honda Jazz,"5,00,000",2015,"94,000 km",Diesel,Chembur
Honda City,"7,75,000",2017,"84,000 km",Diesel,Chembur
Toyota Innova Crysta,"19,51,000",2018,"740,009 km",Diesel,Kurla West
Honda City,"5,50,000",2016,"82,000 km",Petrol,Matunga Road
Hyundai Creta,"10,75,000",2018,"46,839 km",Diesel,Chembur
Hyundai Grand i10,"5,25,000",2018,"45,123 km",Petrol,Sion East
Honda City,"6,75,000",2017,"78,556 km",Diesel,Chembur
Hyundai i10,"3,49,000",2013,"47,184 km",Petrol,Chembur
Toyota Etios,"2,25,000",2011,"72,555 km",Petrol,Chembur
Maruti Suzuki Baleno-RS,"6,95,000",2017,"38,000 km",Petrol,Chembur
