,CarName,Price,Year,KilometersDriven,Fuel Type,Location
231,Renault Kwid,"3,80,000",2019,"33,923 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
232,Maruti Swift Dzire,"3,34,000",2012,"72,831 KM",PETROL,"Goregaon, Mumbai"
233,Renault Duster,"7,36,000",2019,"31,372 KM",PETROL,"Mulund, Mumbai"
234,Maruti Celerio,"4,63,000",2019,"25,442 KM",PETROL,"Goregaon, Mumbai"
235,Maruti Ciaz,"5,60,000",2015,"87,624 KM",PETROL,"Goregaon, Mumbai"
236,Honda Brio,"2,45,400",2012,"66,723 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
237,Honda Jazz,"6,95,000",2019,"15,114 KM",PETROL,"Mulund, Mumbai"
238,Honda Jazz,"5,74,000",2017,"26,031 KM",PETROL,"Goregaon, Mumbai"
239,Maruti Dzire,"6,38,000",2017,"60,399 KM",CNG,"Rupa Renaissance, Navi Mumbai"
240,Hyundai Creta,"7,59,000",2016,"19,296 KM",PETROL,"Goregaon, Mumbai"
241,Jeep Compass,"10,93,000",2018,"49,171 KM",PETROL,"Goregaon, Mumbai"
242,Honda WR-V,"7,14,000",2017,"10,281 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
243,Maruti Swift,"4,97,000",2017,"45,176 KM",PETROL,"Mulund, Mumbai"
244,Maruti Celerio,"3,54,000",2014,"74,993 KM",PETROL,"Goregaon, Mumbai"
245,Honda City,"5,57,000",2015,"23,518 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
246,Hyundai Grand i10,"4,32,000",2017,"49,834 KM",PETROL,"Mulund, Mumbai"
247,Hyundai Elite i20,"4,68,000",2014,"38,479 KM",PETROL,"Goregaon, Mumbai"
248,Maruti New Wagon-R,"5,97,000",2021,"32,678 KM",CNG,"Rupa Renaissance, Navi Mumbai"
249,Hyundai Verna,"7,20,000",2017,"45,645 KM",PETROL,"Goregaon, Mumbai"
250,Maruti Celerio,"4,06,000",2015,"28,264 KM",PETROL,"Goregaon, Mumbai"
251,Honda Amaze,"7,86,000",2019,"28,832 KM",DIESEL,"Mulund, Mumbai"
252,Honda City,"5,11,300",2015,"62,499 KM",CNG,"Goregaon, Mumbai"
253,Hyundai Grand i10,"2,97,000",2014,"64,561 KM",PETROL,"Mulund, Mumbai"
254,Maruti Ertiga,"5,31,000",2012,"1,19,482 KM",DIESEL,"Goregaon, Mumbai"
255,Hyundai i20,"3,99,000",2014,"34,978 KM",PETROL,"Goregaon, Mumbai"
256,Maruti Swift Dzire,"3,91,000",2013,"58,047 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
257,Maruti Swift Dzire,"3,78,000",2013,"50,544 KM",PETROL,"Goregaon, Mumbai"
258,Hyundai Elite i20,"5,74,000",2016,"73,055 KM",PETROL,"Goregaon, Mumbai"
259,Hyundai Verna,"8,91,000",2017,"56,667 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
260,Hyundai i20,"2,49,000",2011,"29,838 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
261,Maruti Celerio X,"4,53,000",2018,"28,978 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
262,Maruti Baleno,"7,55,000",2019,"17,348 KM",PETROL,"Mulund, Mumbai"
263,Hyundai i20,"3,29,000",2013,"40,445 KM",PETROL,"Goregaon, Mumbai"
264,Honda Brio,"2,97,000",2014,"35,177 KM",PETROL,"Goregaon, Mumbai"
265,Hyundai i20,"3,22,000",2013,"44,961 KM",PETROL,"Mulund, Mumbai"
266,Hyundai Elite i20,"4,69,000",2015,"67,007 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
267,Hyundai Elite i20,"4,76,000",2015,"94,232 KM",PETROL,"Mulund, Mumbai"
268,Toyota Etios,"2,83,000",2011,"40,881 KM",PETROL,"Goregaon, Mumbai"
269,Hyundai i20 Active,"5,18,000",2015,"41,510 KM",PETROL,"Mulund, Mumbai"
270,Maruti IGNIS,"4,12,000",2017,"1,02,374 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
271,Honda City,"7,47,000",2017,"18,069 KM",PETROL,"Mulund, Mumbai"
272,Honda City,"8,27,000",2017,"29,131 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
273,Maruti Ciaz,"5,08,000",2015,"1,14,513 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
274,Datsun Redi Go,"3,33,000",2018,"45,954 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
