,CarName,Price,Year,KilometersDriven,Fuel Type,Location
332,Honda Jazz,"5,22,000",2017,"60,442 KM",PETROL,"Bellahalli, Bengaluru"
333,Hyundai Verna,"4,91,000",2012,"46,123 KM",PETROL,"Sonnappanahalli, Bengaluru"
334,Honda City,"10,97,000",2019,"64,671 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
335,Maruti Baleno,"6,15,000",2016,"44,253 KM",PETROL,"Bellahalli, Bengaluru"
336,Honda City,"8,40,000",2018,"31,862 KM",PETROL,"Bellahalli, Bengaluru"
337,Maruti Baleno,"8,49,000",2021,"6,930 KM",PETROL,"Bellahalli, Bengaluru"
338,Maruti Baleno,"7,03,000",2017,"33,324 KM",PETROL,"Bellahalli, Bengaluru"
339,Maruti Alto K10,"3,19,000",2014,"39,655 KM",PETROL,"Bellahalli, Bengaluru"
340,Datsun Redi Go,"3,85,000",2021,"11,807 KM",PETROL,"Sonnappanahalli, Bengaluru"
341,Nissan MAGNITE,"8,19,000",2022,"18,809 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
342,Maruti New Wagon-R,"5,87,000",2020,"24,786 KM",PETROL,"Horamavu Agara Road, Bengaluru"
343,Maruti Swift,"4,26,000",2013,"44,437 KM",PETROL,"Bellahalli, Bengaluru"
344,Honda Amaze,"7,81,000",2018,"15,006 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
345,Renault Duster,"10,00,000",2020,"11,201 KM",PETROL,"Sonnappanahalli, Bengaluru"
346,Renault Duster,"7,46,000",2016,"28,347 KM",CNG,"Garuda Mall, Magrath Road, Bengaluru"
347,Hyundai Creta,"8,54,000",2017,"71,570 KM",PETROL,"Sonnappanahalli, Bengaluru"
348,Hyundai i20,"4,51,000",2013,"1,24,514 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
349,Hyundai AURA,"6,81,000",2020,"21,742 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
350,Maruti Swift,"5,41,000",2015,"88,509 KM",DIESEL,"Bellahalli, Bengaluru"
351,Hyundai Grand i10,"3,82,000",2014,"82,116 KM",PETROL,"Horamavu Agara Road, Bengaluru"
352,Skoda Rapid,"8,67,000",2017,"1,05,925 KM",DIESEL,"Bellahalli, Bengaluru"
353,Maruti Swift,"4,91,000",2015,"62,223 KM",PETROL,"Sonnappanahalli, Bengaluru"
354,Maruti Celerio,"5,04,000",2018,"37,270 KM",PETROL,"GT World Mall, Bengaluru"
355,Tata NEXON,"7,56,000",2018,"22,080 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
356,KIA SELTOS,"14,38,000",2019,"24,659 KM",PETROL,"Horamavu Agara Road, Bengaluru"
357,Maruti Swift Dzire,"4,01,000",2012,"44,074 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
358,Maruti Vitara Brezza,"9,38,000",2017,"93,305 KM",DIESEL,"Bellahalli, Bengaluru"
359,Maruti S Cross,"7,34,000",2016,"76,836 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
360,Honda WR-V,"6,67,000",2017,"34,636 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
361,Maruti Celerio,"4,32,000",2015,"57,521 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
362,Maruti Swift,"6,23,000",2015,"71,884 KM",DIESEL,"Bellahalli, Bengaluru"
363,Hyundai Verna,"5,01,000",2013,"1,04,938 KM",PETROL,"GT World Mall, Bengaluru"
364,Renault Kwid,"4,44,000",2019,"19,739 KM",PETROL,"Bellahalli, Bengaluru"
365,Tata NEXON,"9,62,000",2020,"34,437 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
366,Maruti Baleno,"8,07,000",2019,"19,693 KM",PETROL,"Bellahalli, Bengaluru"
367,Datsun Redi Go,"3,47,000",2018,"38,396 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
368,Maruti Swift,"5,84,000",2014,"54,625 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
369,Hyundai Elite i20,"6,01,000",2015,"83,731 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
370,Maruti Baleno,"8,88,000",2021,"7,605 KM",PETROL,"Bellahalli, Bengaluru"
371,Maruti Ciaz,"7,69,000",2018,"61,103 KM",PETROL,"Horamavu Agara Road, Bengaluru"
372,Tata Tiago,"6,26,000",2020,"24,357 KM",PETROL,"Horamavu Agara Road, Bengaluru"
373,Renault TRIBER,"6,86,000",2020,"42,063 KM",PETROL,"Sonnappanahalli, Bengaluru"
374,Renault Kiger,"9,55,000",2021,"7,598 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
375,Hyundai AURA,"7,50,000",2020,"23,583 KM",PETROL,"Bellahalli, Bengaluru"
376,Hyundai Elite i20,"5,89,000",2016,"89,728 KM",PETROL,"Sonnappanahalli, Bengaluru"
377,Hyundai Xcent,"6,48,000",2019,"25,887 KM",PETROL,"Sonnappanahalli, Bengaluru"
378,Maruti Swift,"4,90,000",2014,"51,489 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
379,Skoda Rapid,"10,36,000",2021,"29,517 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
380,Renault Kwid,"3,32,000",2016,"65,304 KM",PETROL,"Sonnappanahalli, Bengaluru"
381,Ford Ecosport,"6,23,000",2015,"42,710 KM",PETROL,"Bellahalli, Bengaluru"
382,Hyundai i10,"3,14,000",2011,"88,559 KM",PETROL,"Bellahalli, Bengaluru"
383,Volkswagen Ameo,"5,78,000",2017,"87,012 KM",DIESEL,"Bellahalli, Bengaluru"
384,Volkswagen VIRTUS,"15,79,000",2022,"11,880 KM",PETROL,"Bellahalli, Bengaluru"
385,Renault Duster,"7,18,000",2016,"73,494 KM",DIESEL,"Bellahalli, Bengaluru"
