CarName,Price,Year,KilometersDriven,Fuel Type,Location
Mahindra E-20,"2,99,999",2016,"49,000 km",Electric,"Rajouri Garden, Delhi"
Mahindra Thar,"6,25,000",2017,"500,241 km",Diesel,"Paschim Vihar, Delhi"
Maruti Suzuki Ignis,"6,75,550",2023,"2,800 km",Petrol,"Ramesh Nagar, Delhi"
Mercedes-Benz C-Class,"19,90,000",2015,"65,000 km",Diesel,"Rajouri Garden, Delhi"
MG Hector Plus,"20,25,000",2022,"10,158 km",Petrol,"Vikaspuri, Delhi"
Mercedes-Benz E-Class,"12,50,000",2014,"57,000 km",Diesel,"Paschim Vihar, Delhi"
Hyundai Verna,"11,44,000",2019,"25,000 km",Petrol,"Pitampura, Delhi"
Mahindra Thar,"15,50,000",2021,"12,000 km",Petrol,"Punjabi Bagh West, Delhi"
Hyundai i20,"4,90,000",2016,"43,000 km",Petrol,"Vikaspuri, Delhi"
Audi Q3,"11,50,000",2014,"58,000 km",Diesel,"Paschim Vihar, Delhi"
Mahindra TUV,"5,65,000",2016,"62,000 km",Diesel,"Rohini Sector 7, Delhi"
Maruti Suzuki Swift-Dzire,"3,45,000",2014,"67,000 km",Petrol,"Rohini Sector 3, Delhi"
MG Hector,"15,45,000",2020,"53,000 km",Petrol,"Jawalaheri, Delhi"
Maruti Suzuki Ertiga,"4,10,000",2014,"68,000 km",Diesel,"Vikaspuri, Delhi"
Ford Endeavour,"27,70,000",2019,"95,000 km",Diesel,"Paschim Vihar, Delhi"
Land Rover Range Rover Evoque,"32,00,000",2017,"57,000 km",Diesel,"Paschim Vihar, Delhi"
Honda City,"6,10,000",2015,"73,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki S-Cross1,"5,95,000",2017,"68,000 km",Diesel,"Pitampura, Delhi"
Honda Amaze,"6,35,000",2019,"55,000 km",Petrol,"Pitampura, Delhi"
Honda Mobilio,"4,90,000",2015,"65,000 km",Petrol,"Pitampura, Delhi"
Honda Amaze,"2,95,000",2014,"69,000 km",Diesel,"Pitampura, Delhi"
Mahindra TUV,"4,75,000",2016,"69,000 km",Diesel,"Pitampura, Delhi"
Mahindra XUV500,"5,49,000",2015,"60,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Vitara-Brezza,"9,25,000",2020,"25,000 km",Petrol,"Madipur, Delhi"
Land Rover Range Rover Evoque,"69,00,000",2020,"10,000 km",Petrol,"Rajouri Garden, Delhi"
Maruti Suzuki Ritz,"3,10,000",2016,"81,000 km",CNG & Hybrids,"Vikaspuri, Delhi"
