CarName,Price,Year,KilometersDriven,Fuel Type,Location
Volkswagen VentoTest,"5,45,000",2014,"53,000 km",Petrol,"Vishrant Wadi, Pune"
Hyundai Creta,"10,25,000",2018,"85,000 km",Diesel,"Khadki, Pune"
Maruti Suzuki maruti-suzuki-dzire,"4,35,000",2013,"62,000 km",Petrol,"Vishrant Wadi, Pune"
Mercedes-Benz E-Class,"86,19,820",2023,"3,559 km",Diesel,"Central Street Camp, Pune"
Toyota Innova,"7,65,000",2014,"198,000 km",Diesel,"Khadki, Pune"
Maruti Suzuki Swift,"5,90,000",2019,"43,097 km",Petrol,"Model Colony, Pune"
Mercedes-Benz E-Class,"83,51,671",2023,"1,078 km",Petrol,"Shivaji Nagar, Pune"
Maruti Suzuki Swift-Dzire,"7,75,000",2017,"84,400 km",Diesel,"Shivaji Nagar, Pune"
Ford Ecosport,"4,65,000",2014,"85,000 km",Petrol,"Shivaji Nagar, Pune"
Maruti Suzuki S-Cross,"7,00,000",2016,"58,000 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki S-Cross,"7,00,000",2016,"58,000 km",Diesel,"Vishrant Wadi, Pune"
Hyundai i20,"2,50,000",2010,"38,800 km",Petrol,"Sopan Baug, Pune"
Maruti Suzuki Wagon-R,"2,35,000",2009,"76,241 km",Petrol,"Mangalwar Peth, Pune"
Hyundai Getz Prime,"1,25,000",2008,"65,000 km",Petrol,"Sopan Baug, Pune"
Tata Nano Genx,"2,65,000",2017,"18,000 km",Petrol,"Khadki, Pune"
Maruti Suzuki Wagon-R,"5,60,000",2020,"29,000 km",CNG & Hybrids,"Khadki, Pune"
Toyota Glanza,"8,50,000",2019,"21,900 km",Petrol,"Pune Cantonment, Pune"
Toyota Glanza,"8,50,000",2019,"21,900 km",Petrol,"Chatushrungi Temple, Pune"
Hyundai Venue,"7,90,000",2022,"9,000 km",Petrol,"Sadashiv Peth, Pune"
Maruti Suzuki Wagon R,"1,25,000",2007,99000.0 km,Petrol,"Swargate, Pune"
Hyundai Verna,"10,75,000",2018,"82,000 km",Diesel,"Khadki, Pune"
Mercedes-Benz E-Class,"22,50,000",2016,"93,000 km",Petrol,"Shivaji Nagar, Pune"
Maruti Suzuki Ciaz,"5,95,000",2015,"112,000 km",Diesel,"Khadki, Pune"
Volkswagen VentoTest,"4,95,000",2014,"86,000 km",Diesel,"Khadki, Pune"
Maruti Suzuki S-Cross1,"8,90,000",2019,"87,000 km",Diesel,"Khadki, Pune"
Honda Jazz,"2,20,000",2010,90000.0 km,Petrol,"Khadki, Pune"
Maruti Suzuki Celerio,"4,85,000",2018,"70,123 km",Petrol,"Walvekar Nagar, Pune"
Maruti Suzuki Vitara-Brezza,"7,75,000",2017,"83,000 km",Diesel,"Khadki, Pune"
Maruti Suzuki Ertiga,"10,75,000",2020,"55,000 km",CNG & Hy..,"Khadki, Pune"
Toyota Innova Crysta,"16,85,000",2017,"235,000 km",Diesel,"Khadki, Pune"
BMW 7 Series,"11,99,000",2010,"123,000 km",Diesel,"Pune Cantonment, Pune"
Maruti Suzuki Eeco,"4,75,000",2018,"22,000 km",Petrol,"Swargate, Pune"
Maruti Suzuki Ciaz,"9,50,000",2019,"50,169 km",Petrol,"Central Street Camp, Pune"
Hyundai Verna,"4,25,000",2012,"115,000 km",Petrol,"Khadki, Pune"
Ford Ecosport,"6,49,000",2016,"59,000 km",Diesel,"Swargate, Pune"
Tata Nano,"81,000",2012,"51,000 km",Petrol,"Swargate, Pune"
Volkswagen Polo,"5,49,000",2018,"78,000 km",Petrol,"Swargate, Pune"
Maruti Suzuki Swift,"2,22,000",2009,"24,000 km",Petrol,"Swargate, Pune"
Chevrolet Beat,"1,69,000",2011,"81,000 km",Petrol,"Swargate, Pune"
Mercedes-Benz B Class,"10,49,000",2014,"85,000 km",Diesel,"Swargate, Pune"
Toyota Etios,"2,99,000",2011,"61,000 km",Petrol,"Swargate, Pune"
Maruti Suzuki Swift,"4,75,000",2013,"154,000 km",Diesel,"Swargate, Pune"
Toyota Innova Crysta,"17,50,000",2016,"170,600 km",Diesel,"Pune Cantonment, Pune"
Hyundai Grand i10,"4,75,000",2014,"18,000 km",Petrol,"Sadashiv Peth, Pune"
Skoda Rapid,"3,65,000",2012,"74,000 km",Diesel,"Swatantrya Sainik Nagar, Pune"
Maruti Suzuki Celerio,"4,20,000",2017,"56,000 km",CNG & Hybrids,"Shivaji Nagar, Pune"
Maruti Suzuki Celerio,"4,65,000",2018,"104,250 km",CNG & Hybrids,"Model Colony, Pune"
Chevrolet Cruze,"3,80,000",2012,"110,000 km",Diesel,"Shivaji Nagar, Pune"
Chevrolet Cruze,"3,80,000",2012,"110,000 km",Diesel,"Pune Vidyapith, Pune"
Maruti Suzuki Swift,"2,60,000",2009,"95,000 km",Diesel,"Shivaji Nagar, Pune"
Hyundai i20,"3,99,000",2014,"54,000 km",Petrol,"Pune Vidyapith, Pune"
Ford Endeavour,"20,99,999",2016,"93,000 km",Diesel,"Swargate, Pune"
Toyota Innova Crysta,"17,50,000",2016,"170,600 km",Diesel,"Chatushrungi Temple, Pune"
Maruti Suzuki Swift,"5,20,000",2014,"113,135 km",Diesel,"Swargate, Pune"
Honda City,"5,49,000",2014,"48,000 km",Petrol,"Swargate, Pune"
Toyota Glanza,"7,65,000",2020,"29,000 km",Petrol,"Swargate, Pune"
Maruti Suzuki Swift,"2,75,000",2011,"89,000 km",Petrol,"Swargate, Pune"
Mahindra XUV500,"7,40,000",2014,"108,400 km",Diesel,"Prabhat Road, Pune"
Tata Nano Genx,"2,75,000",2017,"18,000 km",Petrol,"Shivaji Nagar, Pune"
Maruti Suzuki Wagon-R,"2,45,000",2010,"68,334 km",Petrol,"Vishrant Wadi, Pune"
Volkswagen Polo,"4,70,000",2013,"66,000 km",Petrol,"Koregaon park, Pune"
Mercedes-Benz GLA Class,"22,54,270",2015,"44,622 km",Petrol,"Shivaji Nagar, Pune"
Maruti Suzuki Wagon-R-1-0,"2,19,000",2010,"68,000 km",CNG & Hybrids,"Swatantrya Sainik Nagar, Pune"
Volkswagen VentoTest,"6,25,000",2015,"107,000 km",Diesel,"Shivaji Nagar, Pune"
Toyota Innova,"9,70,000",2016,"81,500 km",Diesel,"Swargate, Pune"
Maruti Suzuki Ertiga,"8,00,000",2017,"133,000 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Hyundai i10,"2,85,000",2013,"60,000 km",Petrol,"Pune Vidyapith, Pune"
Maruti Suzuki Celerio,"3,35,000",2014,"83,000 km",Petrol,"Modi Colony, Pune"
Hyundai Creta,"14,25,000",2018,"12,000 km",Diesel,"Swargate, Pune"
Maruti Suzuki Vitara-Brezza,"9,75,000",2018,"39,382 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Eeco,"3,70,000",2019,"95,000 km",CNG & Hybrids,"Gultekadi, Pune"
Tata Nano,"88,000",2011,"28,000 km",Petrol,"Pune Vidyapith, Pune"
Honda City ZX,"3,45,000",2010,"990,000 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Maruti Suzuki Wagon-R,"5,45,000",2020,"30,000 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Hyundai Creta,"9,75,000",2016,"50,100 km",Diesel,"Pune Vidyapith, Pune"
Toyota Innova,"7,75,000",2014,"198,000 km",Diesel,"Pune Vidyapith, Pune"
