,CarName,Price,Year,KilometersDriven,Fuel Type,Location
150,Tata Tiago,"5,45,000",2017,"62,000 km",Petrol,"Kukatpally, Hyderabad"
151,Mini Cooper Countryman,"36,50,000",2019,"27,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
152,Audi A6,"50,00,000",2020,"24,000 km",Petrol,"Madhapur, Hyderabad"
153,Honda Amaze,"5,85,000",2015,"30,000 km",Petrol,"Madhapur, Hyderabad"
154,Renault KWID,"4,10,000",2018,"86,000 km",Petrol,"Old Bowenpally Sri Sai Enclave, Secunderabad, Hyderabad"
155,Maruti Suzuki Baleno,"6,75,000",2019,"27,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
156,Mercedes-Benz GLC Class,"59,00,000",2017,"27,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
157,Volkswagen Polo,"5,10,000",2016,"88,363 km",Diesel,"Balkampet, Hyderabad"
158,Hyundai Grand i10,"4,75,000",2017,"89,242 km",Diesel,"Balkampet, Hyderabad"
159,Volkswagen VentoTest,"2,95,000",2011,"68,963 km",Petrol,"Balkampet, Hyderabad"
160,Toyota Etios,"2,90,000",2011,"69,853 km",Petrol,"Balkampet, Hyderabad"
161,Maruti Suzuki maruti-suzuki-dzire,"7,60,000",2018,"53,000 km",Petrol,"Madhapur, Hyderabad"
162,Maruti Suzuki Eeco,"2,95,000",2014,"61,563 km",Petrol,"Balkampet, Hyderabad"
163,Hyundai i10,"3,90,000",2013,"29,000 km",Petrol,"BK Guda, Hyderabad"
164,Hyundai Elite i20,"7,60,000",2017,"77,000 km",Diesel,"BK Guda, Hyderabad"
165,Mahindra XUV700,"30,00,000",2022,"17,000 km",Diesel,"Balkampet, Hyderabad"
166,Hyundai Verna,"7,50,000",2016,"45,499 km",Diesel,"BK Guda, Hyderabad"
167,Hyundai Venue,"9,15,000",2019,"61,000 km",Petrol,"Begumpet, Hyderabad"
168,Tata Zest,"3,90,000",2016,"150,000 km",Diesel,"Balkampet, Hyderabad"
169,Toyota Innova,"11,80,000",2015,"120,000 km",Diesel,"Madhapur, Hyderabad"
170,Maruti Suzuki Ertiga,"11,90,000",2021,"32,000 km",Petrol,"Madhapur, Hyderabad"
171,Honda Amaze,"4,35,000",2014,"57,000 km",Petrol,"Old Bowenpally, Secunderabad, Hyderabad"
