,CarName,Price,Year,KilometersDriven,Fuel Type,Location
120,Maruti Suzuki Ertiga,"5,45,000",2012,"82,000 km",Diesel,"Santacruz East, Mumbai"
121,Maruti Suzuki Wagon-R,"1,45,000",2009,"70,000 km",Petrol,"Santacruz West, Mumbai"
122,Skoda Rapid,"7,95,000",2017,"77,000 km",Diesel,"Bandra West, Mumbai"
123,Ford Ecosport,"4,80,000",2014,"69,000 km",Diesel,"Chembur, Mumbai"
124,Maruti Suzuki Baleno,"5,78,000",2017,"57,000 km",Petrol,"Chembur, Mumbai"
125,Maruti Suzuki Swift-Dzire,"3,68,000",2012,"82,000 km",Petrol,"Chembur, Mumbai"
126,Toyota Innova Hycross,"32,54,999",2023,"12,000 km",Petrol,"Vile Parle West, Mumbai"
127,Hyundai Venue,"9,98,000",2020,"57,000 km",Petrol,"Chembur, Mumbai"
128,Volvo XC60,"56,94,999",2021,"36,000 km",Diesel,"Vile Parle West, Mumbai"
129,Mercedes-Benz E-Class,"41,94,999",2017,"38,000 km",Diesel,"Vile Parle West, Mumbai"
130,Maruti Suzuki Ertiga,"11,10,999",2021,"20,500 km",Petrol,"Chembur, Mumbai"
131,Maruti Suzuki Alto,"69,000",2001,"68,000 km",Petrol,"Bandra East, Mumbai"
132,Tata Harrier,"23,75,000",2022,"13,500 km",Diesel,"Chembur, Mumbai"
133,Honda City,"2,25,000",2008,"123,560 km",Petrol,"Kurla West, Mumbai"
134,Land Rover Discovery Sport,"35,50,000",2017,"38,000 km",Diesel,"Vile Parle East, Mumbai"
135,Maruti Suzuki Vitara-Brezza,"8,40,000",2018,"59,000 km",Diesel,"Dadar East, Mumbai"
136,Maruti Suzuki Sx4,"2,10,000",2010,"44,000 km",Petrol,"Sion East, Mumbai"
137,Toyota Glanza,"7,75,000",2018,"7,981 km",Petrol,"Kurla West, Mumbai"
138,Toyota Etios Liva,"4,75,000",2013,"70,048 km",Diesel,"Kurla West, Mumbai"
139,Hyundai i20 Active,"5,50,000",2016,"45,000 km",Petrol,"Bandra West, Mumbai"
140,Volkswagen Ameo,"4,90,000",2017,"63,000 km",Petrol,"Santacruz East, Mumbai"
141,Maruti Suzuki Ertiga,"12,11,111",2022,"15,000 km",Petrol,"Bandra West, Mumbai"
142,Mercedes-Benz GLC Class,"39,75,111",2018,"50,000 km",Diesel,"Bandra West, Mumbai"
143,Hyundai Venue,"11,90,000",2023,"6,744 km",Diesel,"Chembur, Mumbai"
144,Kia Sonet,"11,50,000",2020,"18,237 km",Petrol,"Chembur, Mumbai"
145,Tata Nexon,"9,75,000",2021,"21,000 km",Petrol,"Bandra West, Mumbai"
146,Skoda Superb,"3,45,000",2012,"57,000 km",Petrol,"Bandra West, Mumbai"
147,Mercedes-Benz E-Class,"19,50,000",2016,"84,000 km",Petrol,"Bandra West, Mumbai"
148,Audi Q3,"14,85,000",2014,"60,000 km",Diesel,"Chembur, Mumbai"
149,Maruti Suzuki Ertiga,"6,49,000",2014,"111,000 km",Diesel,"Bandra East, Mumbai"
150,Maruti Suzuki Wagon-R,"3,85,000",2015,"65,000 km",CNG & Hybrids,"Dadar East, Mumbai"
151,Maruti Suzuki Wagon-R,"6,25,000",2021,"42,710 km",Petrol,"Bandra West, Mumbai"
152,Honda City,"2,15,000",2009,"53,000 km",CNG & Hybrids,"Santacruz East, Mumbai"
153,Jaguar XJ,"36,50,000",2015,"82,000 km",Diesel,"Khar West, Mumbai"
154,Audi A4,"8,95,000",2012,"78,144 km",Diesel,"Vile Parle East, Mumbai"
155,Mercedes-Benz S-Class,"1,51,00,000",2020,"26,000 km",Petrol,"Vile Parle East, Mumbai"
156,Tata EV,"14,50,000",2023,"10,000 km",Electric,"Vile Parle East, Mumbai"
157,Mahindra TUV,"7,25,000",2017,"45,000 km",Diesel,"Bandra West, Mumbai"
158,Kia Sonet,"10,85,000",2021,"21,521 km",Petrol,"Chembur, Mumbai"
159,Hyundai Fluidic Verna,"5,68,000",2014,"71,000 km",Diesel,"Chembur, Mumbai"
160,Honda City ZX,"1,45,000",2008,"89,000 km",CNG & Hybrids,"Vile Parle East, Mumbai"
161,Land Rover Range Rover Evoque,"68,00,000",2021,"23,000 km",Diesel,"Bandra West, Mumbai"
162,Maruti Suzuki Swift-Dzire,"2,49,000",2010,"32,200 km",Petrol,"Santacruz West, Mumbai"
163,Volkswagen Polo,"8,50,000",2019,"25,000 km",Petrol,"Bandra West, Mumbai"
164,Hyundai i20,"3,25,000",2014,"69,000 km",Petrol,"Chembur, Mumbai"
165,Hyundai Grand i10,"5,25,000",2019,"22,600 km",Petrol,"Chembur, Mumbai"
