CarName,Price,Year,KilometersDriven,Fuel Type,Location
Mahindra Thar LX 4-Str Hard Top AT BSVI,14.50 Lakh,2021,"32,000 km",Petrol,"Chittaranjan, New Delhi"
Maruti Brezza Zxi Plus,12.25 Lakh,2022,"18,000 km",Petrol,"Defence Colony, New Delhi"
Honda Brio S MT,2.10 Lakh,2012,"39,779 km",Petrol,Noida
Mercedes-Benz M-Class ML 350 4Matic,20.50 Lakh,2015,"88,000 km",Diesel,"Moti Nagar, New Delhi"
Maruti Baleno 1.2 CVT Alpha,8.63 Lakh,2020,"27,579 km",Petrol,"Sector 18, Noida"
Mahindra XUV700 AX7 AT Luxury Pack,25.50 Lakh,2022,"12,000 km",Petrol,"Rajouri Garden, New Delhi"
Maruti S-Presso VXI 2019-2022,4.09 Lakh,2019,"54,923 km",Petrol,"Sector 49, Gurgaon"
Audi Q7 45 TDI Quattro Technology,39.95 Lakh,2016,"75,000 km",Diesel,Gurgaon
Hyundai Creta SX IVT BSVI,15.50 Lakh,2021,"37,000 km",Petrol,Noida
Maruti Baleno 1.2 CVT Zeta,6.19 Lakh,2018,"61,157 km",Petrol,"Sector 18, Noida"
Maruti Baleno Delta,6.50 Lakh,2020,"30,000 km",Petrol,"Pitampura, New Delhi"
Jeep Compass 2.0 Sport,10.25 Lakh,2018,"67,000 km",Diesel,"Preet Vihar, New Delhi"
Maruti Ignis 1.2 Zeta BSIV,5.57 Lakh,2019,"51,219 km",Petrol,"Sector 18, Noida"
Volkswagen Virtus GT Plus DSG BSVI,17.49 Lakh,2023,"15,000 km",Petrol,"Chittranjan Park, New Delhi"
Maruti Ertiga BSIV VXI,7.20 Lakh,2016,"43,753 km",Petrol,"Ramgarh B.o, Gurgaon"
Mercedes-Benz GLA Class 200 d Sport,16.50 Lakh,2018,"80,000 km",Diesel,Gurgaon
Hyundai Aura S CNG,8.10 Lakh,2022,"22,000 km",CNG,"Ashok Vihar, New Delhi"
Honda City i VTEC V,5.71 Lakh,2015,"62,400 km",Petrol,"Preet Vihar, New Delhi"
Audi Q5 2.0 TFSI Quattro,5.56 Lakh,2009,"63,000 km",Petrol,"Jangpura, New Delhi"
Hyundai Alcazar Signature Dual Tone AT,18.25 Lakh,2022,"40,000 km",Petrol,Ghaziabad
BMW 5 Series 520d Luxury Line,39.99 Lakh,2019,"35,000 km",Diesel,"Chittranjan Park, New Delhi"
BMW X3 xDrive 20d Luxury Line,43 Lakh,2019,"30,000 km",Diesel,"Nangal Raya, New Delhi"
Toyota Fortuner 2.8 4WD AT,39.78 Lakh,2021,"42,000 km",Diesel,"Karam Pura, New Delhi"
MG Hector Plus Sharp DCT,16.90 Lakh,2021,"59,001 km",Petrol,"Preet Vihar, New Delhi"
Tata Nexon 1.2 Revotron XZ Plus,7.58 Lakh,2019,"41,861 km",Petrol,"Sector 18, Noida"
Honda WR-V i-VTEC S,5.99 Lakh,2018,"35,000 km",Petrol,"Chittranjan Park, New Delhi"
Maruti Swift Dzire VXI,3.38 Lakh,2012,"45,698 km",Petrol,"Raj Nagar Extension S.o, Ghaziabad"
Audi A4 35 TDI Premium Sport,10.90 Lakh,2015,"42,000 km",Diesel,"Preet Vihar, New Delhi"
