ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
82,Hyundai Creta,"12,75,000",2018,36388,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/hyundai-creta-16-sx-plus-2018-petrol-iid-1748100122,https://apollo-singapore.akamaized.net/v1/files/cthcova8w6m21-IN/image;s=850x0
83,Mahindra TUV,"6,25,000",2016,135000,Diesel,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/mahindra-tuv-300-mhawk100-t8-2016-diesel-iid-1747352072,https://apollo-singapore.akamaized.net/v1/files/nlt8yi9u83il1-IN/image;s=850x0
84,Maruti Suzuki Swift-Dzire,"3,45,000",2010,88000,Diesel,"Banashankari Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-dzire-vdi-bsiv-2010-diesel-iid-1746864799,https://apollo-singapore.akamaized.net/v1/files/0omc7t24ly032-IN/image;s=850x0
85,Hyundai i10,"2,35,000",2010,86000,Petrol,"Banashankari Nagar, Bengaluru",https://www.olx.in/item/hyundai-i10-12-kappa-magna-2010-petrol-iid-1746863869,https://apollo-singapore.akamaized.net/v1/files/zq1f58dbh9ys2-IN/image;s=850x0
86,Ford Ecosport,"5,75,000",2014,71000,Diesel,"Banashankari Nagar, Bengaluru",https://www.olx.in/item/ford-ecosport-15-diesel-titanium-plus-2014-diesel-iid-1746863473,https://apollo-singapore.akamaized.net/v1/files/ncoc6wgzjuqa2-IN/image;s=850x0
87,Maruti Suzuki Wagon-R-1-0,"3,98,000",2018,89000,Petrol,"Banashankari Stage 3, Bengaluru",https://www.olx.in/item/maruti-suzuki-wagon-r-10-2010-2019-vxi-plus-2018-petrol-iid-1750162496,https://apollo-singapore.akamaized.net/v1/files/zbu5c38iaz183-IN/image;s=850x0
88,Hyundai Santro,"1,25,000",2003,95000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-santro-gs-zip-drive-euro-ii-2003-petrol-iid-1745148936,https://apollo-singapore.akamaized.net/v1/files/9i2t9665u7s1-IN/image;s=850x0
89,Audi Q3,"15,50,000",2015,80000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/audi-q3-35-tdi-premium-plus-sunroof-2015-diesel-iid-1744857290,https://apollo-singapore.akamaized.net/v1/files/pkz6enibt3pr-IN/image;s=850x0
90,Hyundai i10,"3,20,000",2011,29000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-i10-11-magnao-2011-petrol-iid-1744738326,https://apollo-singapore.akamaized.net/v1/files/176a0q122cam2-IN/image;s=850x0
91,Maruti Suzuki Alto,"1,79,999",2007,80000,Petrol,"RK Layout 2nd Stage, Bengaluru",https://www.olx.in/item/maruti-suzuki-alto-2005-2010-lx-bsiii-2007-petrol-iid-1748585069,https://apollo-singapore.akamaized.net/v1/files/mtn0bfxa2umh2-IN/image;s=850x0
92,Volkswagen Jetta,"3,50,000",2008,74000,Diesel,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/volkswagen-jetta-19-l-tdi-2008-diesel-iid-1747850156,https://apollo-singapore.akamaized.net/v1/files/qf793k5pd70p-IN/image;s=850x0
93,Volkswagen Polo,"7,00,000",2016,93000,Petrol,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/volkswagen-polo-highline-16l-petrol-2016-petrol-iid-1747849369,https://apollo-singapore.akamaized.net/v1/files/blhaxjlestkh3-IN/image;s=850x0
94,Volkswagen Polo,"5,25,000",2013,85000,Diesel,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/volkswagen-polo-2013-2015-15-tdi-comfortline-2013-diesel-iid-1745478535,https://apollo-singapore.akamaized.net/v1/files/r31ty6ts6bn11-IN/image;s=850x0
95,Tata Safari,"2,95,000",2008,81800,Diesel,"Agrahara Dasarahalli, Bengaluru",https://www.olx.in/item/tata-safari-4x4-vx-dicor-bs-iii-2008-diesel-iid-1749610505,https://apollo-singapore.akamaized.net/v1/files/vbt0zz94avki3-IN/image;s=850x0
96,Toyota Etios Liva,"5,30,000",2014,70000,Diesel,"Shastri Nagar, Bengaluru",https://www.olx.in/item/toyota-etios-liva-gd-sp-2014-diesel-iid-1748944588,https://apollo-singapore.akamaized.net/v1/files/fgs62glz2gew-IN/image;s=850x0
97,Mahindra e2o plus,"3,98,000",2017,62000,Electric,"Vijaya Nagar, Bengaluru",https://www.olx.in/item/mahindra-e2o-plus-p4-2017-electric-iid-1746864333,https://apollo-singapore.akamaized.net/v1/files/mavc1q2j03oo1-IN/image;s=850x0
98,Mahindra E Verito,"3,45,000",2018,48000,Electric,"Banashankari, Bengaluru",https://www.olx.in/item/mahindra-e-verito-d2-2018-electric-iid-1729585166,https://apollo-singapore.akamaized.net/v1/files/yd0yxj9ibty42-IN/image;s=850x0
99,Ford Figo,"3,10,000",2013,77000,Diesel,"Agrahara Dasarahalli, Bengaluru",https://www.olx.in/item/ford-figo-2012-2015-diesel-zxi-2013-diesel-iid-1749610026,https://apollo-singapore.akamaized.net/v1/files/rob428soct752-IN/image;s=850x0
100,Fiat Linea,"4,85,000",2015,39000,Petrol,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/fiat-linea-2007-2013-t-jet-plus-2015-petrol-iid-1745479527,https://apollo-singapore.akamaized.net/v1/files/ppi5nmm81rvo3-IN/image;s=850x0
101,Mercedes-Benz GLC Class,"38,00,000",2017,85405,Diesel,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-glc-class-220d-4matic-sport-2017-diesel-iid-1747231548,https://apollo-singapore.akamaized.net/v1/files/cnfwhkyaftq21-IN/image;s=850x0
102,Mercedes-Benz GLC Class,"57,50,000",2019,34000,Diesel,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-glc-class-220-d-4-matic-2019-diesel-iid-1747231209,https://apollo-singapore.akamaized.net/v1/files/e3eis2ivn1ox1-IN/image;s=850x0
