ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
362,Hyundai Grand i10,"4,45,000",2018,48000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/hyundai-grand-i10-sportz-12-kappa-vtvt-2018-petrol-iid-1748346502,https://apollo-singapore.akamaized.net/v1/files/m2803nsv82lk1-IN/image;s=850x0
363,Hyundai Elite i20,"5,10,000",2017,60000,Diesel,"Rohini Sector 2, Delhi",https://www.olx.in/item/hyundai-elite-i20-sportz-plus-diesel-2017-diesel-iid-1746984992,https://apollo-singapore.akamaized.net/v1/files/e4fs8yhv5n65-IN/image;s=850x0
364,Hyundai Grand i10,"4,99,000",2018,31000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/hyundai-grand-i10-12-kappa-sportz-option-2018-petrol-iid-1746527271,https://apollo-singapore.akamaized.net/v1/files/lyymn4jnqr5q-IN/image;s=850x0
365,Maruti Suzuki Baleno,"4,85,000",2016,58000,Petrol,"Paschim Vihar, Delhi",https://www.olx.in/item/maruti-suzuki-baleno-12-cvt-delta-2016-petrol-iid-1746527201,https://apollo-singapore.akamaized.net/v1/files/r7oh2mmuetv62-IN/image;s=850x0
366,Maruti Suzuki Wagon-R,"5,45,000",2021,37000,CNG & Hybrids,"Pitampura, Delhi",https://www.olx.in/item/maruti-suzuki-wagon-r-lxi-cng-2021-cng-hybrids-iid-1748347008,https://apollo-singapore.akamaized.net/v1/files/vr3e2q9t1kv11-IN/image;s=850x0
367,Ford Ecosport,"5,30,000",2017,58000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/ford-ecosport-15-tdci-titanium-plus-be-2017-diesel-iid-1748347497,https://apollo-singapore.akamaized.net/v1/files/wyaps6pk9ao32-IN/image;s=850x0
368,Maruti Suzuki S-Presso,"4,70,000",2021,21000,CNG & Hybrids,"Pitampura, Delhi",https://www.olx.in/item/maruti-suzuki-s-presso-10-vxi-cng-2021-cng-hybrids-iid-1748348065,https://apollo-singapore.akamaized.net/v1/files/qbldaa82pm2h-IN/image;s=850x0
369,Maruti Suzuki Ertiga,"5,45,000",2015,72000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/maruti-suzuki-ertiga-vdi-shvs-2015-diesel-iid-1748376983,https://apollo-singapore.akamaized.net/v1/files/8zbj4ue5cxv02-IN/image;s=850x0
370,Ford Endeavour,"19,88,000",2017,132230,Diesel,"Rajouri Garden, Delhi",https://www.olx.in/item/ford-endeavour-32-titanium-4x4-at-2017-diesel-iid-1750051690,https://apollo-singapore.akamaized.net/v1/files/yo1plbpatn681-IN/image;s=850x0
371,Hyundai Creta,"6,65,000",2016,62000,Petrol,"Tilak Nagar, Delhi",https://www.olx.in/item/hyundai-creta-15-s-plus-knight-petrol-2016-petrol-iid-1750051662,https://apollo-singapore.akamaized.net/v1/files/kue21okoftvd2-IN/image;s=850x0
372,Honda City,"3,65,000",2014,85000,Diesel,"Tilak Nagar, Delhi",https://www.olx.in/item/honda-city-sv-mt-i-dtec-2014-diesel-iid-1750051114,https://apollo-singapore.akamaized.net/v1/files/nlklqfmrqb4f-IN/image;s=850x0
373,Volkswagen VentoTest,"4,49,999",2015,43000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/volkswagen-vento-2013-2015-16-highline-2015-petrol-iid-1749513800,https://apollo-singapore.akamaized.net/v1/files/3npc2oxmbdsc1-IN/image;s=850x0
374,Hyundai Creta,"8,95,000",2019,65000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/hyundai-creta-14-e-plus-crdi-2019-diesel-iid-1741065596,https://apollo-singapore.akamaized.net/v1/files/zky0a6jsd3rp3-IN/image;s=850x0
375,Toyota Etios,"2,30,000",2011,68000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/toyota-etios-xclusive-petrol-2011-petrol-iid-1749513290,https://apollo-singapore.akamaized.net/v1/files/t0notyfk8poy2-IN/image;s=850x0
376,Toyota Fortuner,"11,95,000",2014,121000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/toyota-fortuner-30-4x2-automatic-2014-diesel-iid-1748137408,https://apollo-singapore.akamaized.net/v1/files/jvripx4k77bk-IN/image;s=850x0
377,Maruti Suzuki Swift-Dzire,"4,75,000",2016,60000,CNG & Hybrids,"Vikaspuri, Delhi",https://www.olx.in/item/maruti-suzuki-swift-dzire-vxio-mt-2016-cng-hybrids-iid-1749127978,https://apollo-singapore.akamaized.net/v1/files/g2iz7gqn22tz-IN/image;s=850x0
378,Nissan Terrano,"3,45,000",2014,61000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/nissan-terrano-2014-diesel-iid-1743634619,https://apollo-singapore.akamaized.net/v1/files/uuff0z97512q1-IN/image;s=850x0
379,Honda City,"11,25,000",2020,15000,Petrol,"Tilak Nagar, Delhi",https://www.olx.in/item/honda-city-v-mt-exclusive-2020-petrol-iid-1744209010,https://apollo-singapore.akamaized.net/v1/files/yqsp1iyveqhc-IN/image;s=850x0
380,Volkswagen Polo,"7,25,000",2021,19000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/volkswagen-polo-12-mpi-highline-plus-2021-petrol-iid-1748950596,https://apollo-singapore.akamaized.net/v1/files/l6xt3xc59vo31-IN/image;s=850x0
381,Kia Seltos,"15,49,999",2021,20000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/kia-seltos-14-gtx-option-2021-petrol-iid-1748348187,https://apollo-singapore.akamaized.net/v1/files/ie2jruy8arxh1-IN/image;s=850x0
382,Toyota Fortuner,"10,75,000",2014,116000,Diesel,"Tilak Nagar, Delhi",https://www.olx.in/item/toyota-fortuner-30-4x2-mt-2014-diesel-iid-1750050429,https://apollo-singapore.akamaized.net/v1/files/cz7ssvggscoy2-IN/image;s=850x0
383,Hyundai Creta,"8,05,000",2017,33000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/hyundai-creta-16-e-plus-2017-petrol-iid-1750049908,https://apollo-singapore.akamaized.net/v1/files/9u8hp7sfrzu82-IN/image;s=850x0
384,Toyota Etios Liva,"3,65,000",2015,71000,Diesel,"Tilak Nagar, Delhi",https://www.olx.in/item/toyota-etios-liva-gd-sp-2015-diesel-iid-1750049725,https://apollo-singapore.akamaized.net/v1/files/dj3pkqod59m6-IN/image;s=850x0
385,Renault Duster,"3,40,000",2014,73000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/renault-duster-2012-2015-85ps-diesel-rxl-optional-2014-diesel-iid-1750049620,https://apollo-singapore.akamaized.net/v1/files/ueuijersbnjm2-IN/image;s=850x0
386,Hyundai Xcent,"2,90,000",2016,69500,CNG & Hybrids,"Rohini Sector 3, Delhi",https://www.olx.in/item/hyundai-xcent-2016-2017-12-kappa-s-option-cng-2016-cng-hybrids-iid-1748885648,https://apollo-singapore.akamaized.net/v1/files/66ax7qzgzjrk-IN/image;s=850x0
387,Tata Nexon,"7,95,000",2022,12000,Petrol,"Rohini Sector 7, Delhi",https://www.olx.in/item/tata-nexon-12-revotron-xm-s-2022-petrol-iid-1749062833,https://apollo-singapore.akamaized.net/v1/files/7gw08jueti0b-IN/image;s=850x0
388,Mahindra XUV500,"8,45,000",2016,45000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/mahindra-xuv500-22-w10-2016-diesel-iid-1750049428,https://apollo-singapore.akamaized.net/v1/files/i63m640usq541-IN/image;s=850x0
389,Maruti Suzuki Baleno,"7,20,000",2020,34000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/maruti-suzuki-baleno-zeta-2020-petrol-iid-1750049326,https://apollo-singapore.akamaized.net/v1/files/st9e7fvwexgh3-IN/image;s=850x0
390,Honda City,"4,65,000",2015,56000,Petrol,"Ashok Nagar, Delhi",https://www.olx.in/item/honda-city-2014-2015-i-vtec-v-2015-petrol-iid-1749511935,https://apollo-singapore.akamaized.net/v1/files/dm5fsbfiy632-IN/image;s=850x0
391,Renault Duster,"3,75,000",2014,87000,Diesel,"Bali Nagar, Delhi",https://www.olx.in/item/renault-duster-85ps-diesel-rxl-2014-diesel-iid-1748346615,https://apollo-singapore.akamaized.net/v1/files/xskj8hwr0bel-IN/image;s=850x0
392,Ford Ecosport,"4,80,000",2015,75000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/ford-ecosport-2013-2015-10-ecoboost-titanium-optional-2015-petrol-iid-1748223640,https://apollo-singapore.akamaized.net/v1/files/7hpupo7zriy11-IN/image;s=850x0
393,Mercedes-Benz C-Class,"4,50,000",2009,70000,Petrol,"Tagore Garden, Delhi",https://www.olx.in/item/mercedes-benz-c-class-200k-cgi-special-edition-2009-petrol-iid-1747723303,https://apollo-singapore.akamaized.net/v1/files/3i9ncyij8ptc1-IN/image;s=850x0
394,Chevrolet Cruze,"3,90,000",2014,66900,Diesel,"Tagore Garden, Delhi",https://www.olx.in/item/chevrolet-cruze-ltz-at-2014-diesel-iid-1747722605,https://apollo-singapore.akamaized.net/v1/files/0jx0rd5yc3q33-IN/image;s=850x0
395,Kia Seltos,"16,75,000",2020,35000,Petrol,"Paschim Vihar, Delhi",https://www.olx.in/item/kia-seltos-14-gtx-petrol-at-2020-petrol-iid-1730676638,https://apollo-singapore.akamaized.net/v1/files/e5z72ugokblo2-IN/image;s=850x0
396,Honda City,"4,75,000",2014,65000,Petrol,"Tilak Nagar, Delhi",https://www.olx.in/item/honda-city-2008-2011-15-s-mt-2014-petrol-iid-1747722044,https://apollo-singapore.akamaized.net/v1/files/pows7b2ruzaj2-IN/image;s=850x0
397,Mercedes-Benz C-Class,"57,50,000",2022,14000,Diesel,"Rajouri Garden, Delhi",https://www.olx.in/item/mercedes-benz-c-class-20-220d-progressive-2022-diesel-iid-1748466968,https://apollo-singapore.akamaized.net/v1/files/c1g9si309s213-IN/image;s=850x0
398,Audi A4,"16,50,000",2015,37000,Petrol,"Paschim Vihar, Delhi",https://www.olx.in/item/audi-a4-18-35-tfsi-premium-plus-2015-petrol-iid-1742524387,https://apollo-singapore.akamaized.net/v1/files/94i0fourh3rj-IN/image;s=850x0
399,Maruti Suzuki Ertiga,"6,50,000",2017,75000,Diesel,"Vikaspuri, Delhi",https://www.olx.in/item/maruti-suzuki-ertiga-shvs-vdi-limited-edition-2017-diesel-iid-1744784294,https://apollo-singapore.akamaized.net/v1/files/120v33wunxg51-IN/image;s=850x0
400,Hyundai Grand i10 Nios,"5,50,000",2020,69000,CNG & Hybrid..,"Vikaspuri, Delhi",https://www.olx.in/item/hyundai-grand-i10-nios-12-kappa-vtvt-sportz-cng-2020-cng-hybrid-iid-1744783818,https://apollo-singapore.akamaized.net/v1/files/aqi92ka0rhj52-IN/image;s=850x0
401,Maruti Suzuki Swift,"5,30,000",2019,62000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/maruti-suzuki-swift-vxi-optional-2019-petrol-iid-1743631643,https://apollo-singapore.akamaized.net/v1/files/yisax5qi685n-IN/image;s=850x0
402,Maruti Suzuki Swift,"5,25,000",2020,38000,Petrol,"Rohini Sector 3, Delhi",https://www.olx.in/item/maruti-suzuki-swift-lxi-2018-2020-petrol-iid-1745942913,https://apollo-singapore.akamaized.net/v1/files/y85pfhh14wbb2-IN/image;s=850x0
403,Toyota VELLFIRE,"84,75,000",2020,58000,Petrol,"Vikaspuri, Delhi",https://www.olx.in/item/toyota-vellfire-25-executive-lounge-2020-petrol-iid-1749609691,https://apollo-singapore.akamaized.net/v1/files/x57aault2ke22-IN/image;s=850x0
404,Toyota Innova Crysta,"13,50,000",2017,120000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/toyota-innova-crysta-24-g-plus-mt-2017-diesel-iid-1748016149,https://apollo-singapore.akamaized.net/v1/files/63aq35gwxiyj1-IN/image;s=850x0
405,Renault Duster,"3,75,000",2015,56000,Diesel,"Rohini Sector 7, Delhi",https://www.olx.in/item/renault-duster-85ps-diesel-rxl-2015-diesel-iid-1742383058,https://apollo-singapore.akamaized.net/v1/files/nk82qvk8a7su-IN/image;s=850x0
406,MG Hector Plus,"21,00,000",2022,12000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/mg-hector-plus-sharp-cvt-2022-petrol-iid-1740794138,https://apollo-singapore.akamaized.net/v1/files/31ew6wiovxc13-IN/image;s=850x0
407,Ford Ecosport,"6,75,000",2016,47000,Petrol,"Ashok Nagar, Delhi",https://www.olx.in/item/ford-ecosport-15-ti-vct-titanium-o-2016-petrol-iid-1743096918,https://apollo-singapore.akamaized.net/v1/files/n44nuuu3ytde-IN/image;s=850x0
408,Land Rover Range Rover Sport,"21,00,000",2011,85000,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/land-rover-range-sport-supercharged-v8-petrol-2011-petrol-iid-1749403934,https://apollo-singapore.akamaized.net/v1/files/zfr07imxui6u3-IN/image;s=850x0
409,Maruti Suzuki Swift-Dzire,"4,75,000",2015,92000,Petrol,"Punjabi Bagh West, Delhi",https://www.olx.in/item/maruti-suzuki-swift-dzire-zxi-plus-2015-petrol-iid-1736678952,https://apollo-singapore.akamaized.net/v1/files/zk05q0kc3n2p2-IN/image;s=850x0
410,Honda CRV,"3,30,000",2010,114000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/honda-cr-v-24-automatic-2010-petrol-iid-1744649898,https://apollo-singapore.akamaized.net/v1/files/ix760bmpuz2o-IN/image;s=850x0
411,Kia Seltos,"14,50,000",2019,59000,Diesel,"Vikaspuri, Delhi",https://www.olx.in/item/kia-seltos-htk-plus-at-15-diesel-2019-diesel-iid-1731755121,https://apollo-singapore.akamaized.net/v1/files/0vrtg8avr74a1-IN/image;s=850x0
412,BMW X1,"16,50,000",2016,30200,Diesel,"Rajouri Garden, Delhi",https://www.olx.in/item/bmw-x1-sdrive-20d-xline-2016-diesel-iid-1750048921,https://apollo-singapore.akamaized.net/v1/files/jo05prqpwt2k3-IN/image;s=850x0
413,Hyundai Elite i20,"4,50,000",2015,45000,Petrol,"Bali Nagar, Delhi",https://www.olx.in/item/hyundai-elite-i20-magna-12-2015-petrol-iid-1750047990,https://apollo-singapore.akamaized.net/v1/files/1qm6ab4040e83-IN/image;s=850x0
414,Maruti Suzuki S-Presso,"5,15,000",2023,8000,Petrol,"Jawalaheri, Delhi",https://www.olx.in/item/maruti-suzuki-s-presso-vxi-plus-2023-petrol-iid-1748609149,https://apollo-singapore.akamaized.net/v1/files/yria9z5l9hq1-IN/image;s=850x0
415,Maruti Suzuki S-Cross,"5,00,000",2015,67000,Diesel,"Vikaspuri, Delhi",https://www.olx.in/item/maruti-suzuki-s-cross-alpha-13-2015-diesel-iid-1749957308,https://apollo-singapore.akamaized.net/v1/files/7c1xqy9yy01m-IN/image;s=850x0
416,Toyota Innova,"8,50,000",2015,130000,Diesel,"Rohini Sector 7, Delhi",https://www.olx.in/item/toyota-innova-25-g-diesel-7-seater-bs-iv-2015-diesel-iid-1747265112,https://apollo-singapore.akamaized.net/v1/files/lxugoy7qd0bs1-IN/image;s=850x0
417,Maruti Suzuki Alto-800,"2,10,000",2014,45000,Petrol,"Bali Nagar, Delhi",https://www.olx.in/item/maruti-suzuki-alto-800-2012-2016-vxi-2014-petrol-iid-1750047691,https://apollo-singapore.akamaized.net/v1/files/qo9q3y5ctogs3-IN/image;s=850x0
418,Honda Amaze,"4,74,999",2017,50000,CNG & Hybrids,"Rajouri Garden, Delhi",https://www.olx.in/item/honda-amaze-12-s-i-vtec-2017-cng-hybrids-iid-1745369580,https://apollo-singapore.akamaized.net/v1/files/cznrtxaqt6v21-IN/image;s=850x0
419,Maruti Suzuki Vitara-Brezza,"8,35,000",2019,45000,Diesel,"Bali Nagar, Delhi",https://www.olx.in/item/maruti-suzuki-vitara-brezza-zdi-mt-2019-diesel-iid-1744205464,https://apollo-singapore.akamaized.net/v1/files/zghq9n3rabsd1-IN/image;s=850x0
420,Maruti Suzuki Ignis,"4,25,000",2017,62000,Petrol,"Ramesh Nagar, Delhi",https://www.olx.in/item/maruti-suzuki-ignis-12-delta-mt-2017-petrol-iid-1748946174,https://apollo-singapore.akamaized.net/v1/files/0lyvz6w3n5st1-IN/image;s=850x0
421,Honda Mobilio,"4,60,000",2015,73000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/honda-mobilio-v-i-vtec-2015-petrol-iid-1748222753,https://apollo-singapore.akamaized.net/v1/files/jkr86xhqmcni3-IN/image;s=850x0
422,Honda Amaze,"5,65,000",2018,24000,CNG & Hybrids,"Pitampura, Delhi",https://www.olx.in/item/honda-amaze-12-smt-i-vtec-2018-cng-hybrids-iid-1748222047,https://apollo-singapore.akamaized.net/v1/files/cnhbfsw8zwdc3-IN/image;s=850x0
423,Hyundai i20,"3,50,000",2012,67030,Petrol,"Paschim Vihar, Delhi",https://www.olx.in/item/hyundai-i20-12-spotz-2012-petrol-iid-1749401599,https://apollo-singapore.akamaized.net/v1/files/t0iekj614yr33-IN/image;s=850x0
424,Hyundai Creta,"16,50,000",2020,10000,Petrol,"Tilak Nagar, Delhi",https://www.olx.in/item/hyundai-creta-16-sx-o-2020-petrol-iid-1744782787,https://apollo-singapore.akamaized.net/v1/files/eihl1umwys9e2-IN/image;s=850x0
425,Mahindra Thar,"15,50,000",2021,30000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/mahindra-thar-20-lx-hard-top-petrol-at-4-rwd-2021-petrol-iid-1746525584,https://apollo-singapore.akamaized.net/v1/files/53kfa5dbnt1t1-IN/image;s=850x0
426,MG Hector Plus,"20,80,000",2022,1900,Petrol,"Rajouri Garden, Delhi",https://www.olx.in/item/mg-hector-plus-15-sharp-turbo-cvt-6-str-2022-petrol-iid-1748705261,https://apollo-singapore.akamaized.net/v1/files/cewki8p9oo202-IN/image;s=850x0
427,Maruti Suzuki Swift-Dzire,"6,25,000",2018,41000,Petrol,"Punjabi Bagh West, Delhi",https://www.olx.in/item/maruti-suzuki-swift-dzire-vxio-amt-2018-petrol-iid-1744585249,https://apollo-singapore.akamaized.net/v1/files/7qm8bry3j8s81-IN/image;s=850x0
428,Ford Endeavour,"20,80,000",2016,62500,Diesel,"Punjabi Bagh West, Delhi",https://www.olx.in/item/ford-endeavour-32-titanium-at-4x4-2016-diesel-iid-1744564481,https://apollo-singapore.akamaized.net/v1/files/bxqn41eixa1v3-IN/image;s=850x0
429,Hyundai Elite i20,"5,50,000",2016,52000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/hyundai-elite-i20-12-asta-cvt-2016-petrol-iid-1742821502,https://apollo-singapore.akamaized.net/v1/files/3fdb0eaxclpo-IN/image;s=850x0
