ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
35,BMW 5 Series,"29,00,000",2017,59700,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/bmw-5-series-20-520d-luxury-line-2017-diesel-iid-1747266371,https://apollo-singapore.akamaized.net/v1/files/672zkgyluzev3-IN/image;s=850x0
36,Maruti Suzuki A-Star,"2,30,000",2014,52703,CNG & Hybrids,"Pune Vidyapith, Pune",https://www.olx.in/item/maruti-suzuki-a-star-2012-2014-10-lxi-2014-cng-hybrids-iid-1749539599,https://apollo-singapore.akamaized.net/v1/files/mppsy1q7239e1-IN/image;s=850x0
37,Maruti Suzuki Ertiga,"3,45,000",2023,1234,CNG & Hybrids,"Khadki, Pune",https://www.olx.in/item/maruti-suzuki-ertiga-vxi-cng-2023-cng-hybrids-iid-1739055103,https://apollo-singapore.akamaized.net/v1/files/s7ou704tm0oz-IN/image;s=850x0
38,Honda Brio,"3,50,000",2014,70000,CNG & Hybrids,"Pune Vidyapith, Pune",https://www.olx.in/item/honda-brio-2011-2013-s-mt-2014-cng-hybrids-iid-1749211694,https://apollo-singapore.akamaized.net/v1/files/8beonbw5z4c81-IN/image;s=850x0
39,Ford Ecosport,"8,50,000",2019,52000,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/ford-ecosport-15-diesel-titanium-2019-diesel-iid-1749538578,https://apollo-singapore.akamaized.net/v1/files/uynonazgleve2-IN/image;s=850x0
40,Honda BRV,"8,11,000",2016,56000,Diesel,"Pune Vidyapith, Pune",https://www.olx.in/item/honda-br-v-style-edition-diesel-v-2016-diesel-iid-1748604025,https://apollo-singapore.akamaized.net/v1/files/rd0xycmzkfx82-IN/image;s=850x0
41,Audi A6,"10,75,000",2012,114000,Diesel,"Pune Cantonment, Pune",https://www.olx.in/item/audi-a6-30-tdi-quattro-premium-plus-2012-diesel-iid-1735476102,https://apollo-singapore.akamaized.net/v1/files/x94qczfqxurh3-IN/image;s=850x0
42,Volkswagen Jetta,"5,70,000",2014,117000,Diesel,"Koregaon park, Pune",https://www.olx.in/item/volkswagen-jetta-2013-2017-20-tdi-comfortline-2014-diesel-iid-1747497603,https://apollo-singapore.akamaized.net/v1/files/lik8m4n5ydtt-IN/image;s=850x0
43,Hyundai i10,"3,28,000",2013,82000,Petrol,"Pune Vidyapith, Pune",https://www.olx.in/item/hyundai-i10-asta-12-kappa2-2013-petrol-iid-1749084155,https://apollo-singapore.akamaized.net/v1/files/tcvbenhnhwe43-IN/image;s=850x0
44,Nissan Sunny,"3,45,000",2014,53000,Petrol,"Koregaon park, Pune",https://www.olx.in/item/nissan-sunny-xe-p-2014-petrol-iid-1749537021,https://apollo-singapore.akamaized.net/v1/files/7d3oz188hcy91-IN/image;s=850x0
45,BMW 5 Series,"29,00,000",2017,59700,Diesel,"Koregaon park, Pune",https://www.olx.in/item/bmw-5-series-20-520d-luxury-line-2017-diesel-iid-1747264854,https://apollo-singapore.akamaized.net/v1/files/69zgie6g4vvj1-IN/image;s=850x0
46,Toyota Fortuner,"5,00,000",2023,1234,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/toyota-fortuner-28-legender-4x4-2023-diesel-iid-1744237753,https://apollo-singapore.akamaized.net/v1/files/u6zdzlx6ldpp-IN/image;s=850x0
47,Ford Ecosport,"8,50,000",2019,52000,Diesel,"Pune Vidyapith, Pune",https://www.olx.in/item/ford-ecosport-15-diesel-titanium-2019-diesel-iid-1749538219,https://apollo-singapore.akamaized.net/v1/files/37ivlp37bd14-IN/image;s=850x0
48,Honda Brio,"3,00,000",2012,59200,CNG & Hybrids,"Pune Vidyapith, Pune",https://www.olx.in/item/honda-brio-2012-cng-hybrids-iid-1750076839,https://apollo-singapore.akamaized.net/v1/files/yugvb27j8qd03-IN/image;s=850x0
49,Maruti Suzuki Alto-800,"2,75,000",2014,112000,CNG & Hybrids,"Shivaji Nagar, Pune",https://www.olx.in/item/maruti-suzuki-alto-800-cng-lxi-2014-cng-hybrids-iid-1741478649,https://apollo-singapore.akamaized.net/v1/files/onxi2lw4fyja-IN/image;s=850x0
50,Mahindra Thar,"7,99,000",2018,106000,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/mahindra-thar-2010-2015-crde-ac-2018-diesel-iid-1740950071,https://apollo-singapore.akamaized.net/v1/files/teirsvkppx113-IN/image;s=850x0
51,Maruti Suzuki Vitara-Brezza,"9,60,000",2022,15000,Petrol,"Shivaji Nagar, Pune",https://www.olx.in/item/maruti-suzuki-vitara-brezza-15-vxi-2022-petrol-iid-1743255747,https://apollo-singapore.akamaized.net/v1/files/6n90rwiczada3-IN/image;s=850x0
52,Audi Q3,"12,50,000",2013,120800,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/audi-q3-20-tdi-quattro-2013-diesel-iid-1747754689,https://apollo-singapore.akamaized.net/v1/files/86buwzvmgorf1-IN/image;s=850x0
