CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Creta 1.6 SX Plus,11.28 Lakh,2017,91K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Ritz Vdi,4.24 Lakh,2014,63K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Honda Amaze 1.2 S i-VTEC,7.25 Lakh,2021,18K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Honda City SV Diesel,7.74 Lakh,2017,94K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Honda Jazz V,6.10 Lakh,2016,39K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Elite i20 Magna Plus 1.2,6.52 Lakh,2019,26K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Elite i20 Asta 1.4 CRDI,7.44 Lakh,2017,29K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai i20 N Line N8 1.0 Turbo DCT,11.87 Lakh,2022,35K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai i20 Active 1.4 SX,6.98 Lakh,2016,81K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Baleno Zeta AT Petrol,6.99 Lakh,2017,50K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Baleno Delta Petrol,5.77 Lakh,2016,67K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Honda City ZX Diesel,11.10 Lakh,2018,78K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Grand Vitara Alpha Smart Hybrid AT,17.99 Lakh,2022,1K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Kia Seltos GTX Plus,16.22 Lakh,2020,25K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Mahindra XUV 300 W6 Diesel,10.71 Lakh,2020,34K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Maruti Suzuki Ciaz Alpha AT Petrol,10.66 Lakh,2020,29K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Honda Jazz SV,5.43 Lakh,2015,88K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Tata Altroz XM 1.2,6.64 Lakh,2021,14K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai New i20 Asta (O) 1.2 MT,9.94 Lakh,2022,25K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Alto 800 VXI,4.22 Lakh,2021,5K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Honda City VX CVT,6.64 Lakh,2015,123K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Wagon R 1.0 VXI,2.99 Lakh,2013,26K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Renault Fluence Diesel E4,4.45 Lakh,2013,100K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Tata Safari XZ Plus Adventure,20.96 Lakh,2021,22K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Datsun GO T (O),4.76 Lakh,2021,15K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,16.67 Lakh,2020,30K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Honda City ZX Diesel,12.98 Lakh,2021,79K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Nissan Magnite XV Premium Turbo CVT,9.14 Lakh,2021,26K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai Alcazar Platinum 7 STR 2.0 Petrol MT,17.98 Lakh,2021,14K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Kia Sonet HTX 1.0 iMT,10.25 Lakh,2021,18K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Volkswagen Virtus Topline 1.0 TSI MT,14.96 Lakh,2022,11K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Skoda Kushaq Style 1.0L TSI MT,14.44 Lakh,2021,14K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Venue SX Plus 1.0 Turbo DCT,9.32 Lakh,2019,83K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Toyota Yaris J,7.80 Lakh,2021,56K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Venue SX Plus 1.0 Turbo DCT,9.59 Lakh,2020,74K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Renault Duster 110 PS RxZ 4x2 MT,4.84 Lakh,2013,122K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Mahindra Marazzo M2 8str,8.58 Lakh,2019,100K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Elite i20 Magna Executive 1.4 CRDI,5.85 Lakh,2017,122K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Elite i20 Sportz 1.2,5.60 Lakh,2018,135K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Volkswagen Polo GT TSI,6.49 Lakh,2016,112K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Honda Jazz ZX CVT,9.65 Lakh,2021,25K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Ciaz Alpha 1.5 Diesel,10.16 Lakh,2019,40K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Mahindra Marazzo M6 Plus,12.36 Lakh,2020,42K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Honda WR-V VX i-VTEC,7.58 Lakh,2018,40K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Ciaz Sigma Petrol,8.42 Lakh,2021,19K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Alcazar Signature 6 STR 2.0 Petrol MT,18.70 Lakh,2021,8K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Honda City ZX CVT,14.46 Lakh,2021,12K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Alcazar Signature (O) 6 STR 2.0 Petrol AT,15.69 Lakh,2021,96K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Toyota Yaris V Optional,9.29 Lakh,2020,21K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Volkswagen Virtus Topline 1.0 TSI MT,14.56 Lakh,2022,6K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Honda Jazz ZX,8.74 Lakh,2022,20K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Tata Harrier XZA Plus Dark Edition AT,19.98 Lakh,2021,30K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Renault Duster 85 PS RxL,5.04 Lakh,2014,88K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai Santro Xing GL,2.96 Lakh,2012,51K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Renault Kwid 1.0 RXT Opt,4.60 Lakh,2020,11K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai Grand i10 Sportz 1.1 CRDi,4.29 Lakh,2016,99K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Maruti Suzuki Alto 800 VXI,2.91 Lakh,2016,43K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Ritz VXI,3.52 Lakh,2014,98K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Renault Triber RXT,6.42 Lakh,2022,36K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Honda City SV CVT,5.75 Lakh,2014,64K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Vitara Brezza ZXI Plus,9.38 Lakh,2021,50K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Ciaz Alpha Petrol,8.79 Lakh,2019,37K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Ciaz Alpha Petrol,8.86 Lakh,2019,17K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Renault Kiger RXZ AMT Dual Tone,8.27 Lakh,2021,19K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Skoda Slavia Style 1.0L TSI MT,14.99 Lakh,2022,8K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Tata Nexon XM S Petrol,9.23 Lakh,2021,19K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Ford Figo Aspire Titanium 1.2 Ti-VCT,5.53 Lakh,2018,51K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Elite i20 Asta 1.4 CRDI,7.54 Lakh,2017,60K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Swift VXI,6.58 Lakh,2019,17K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Skoda Kushaq Style 1.0L TSI AT,15.11 Lakh,2021,13K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Mahindra XUV500 W6,10.15 Lakh,2017,98K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Honda Jazz VX,6.37 Lakh,2018,48K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Ritz Vdi,4.52 Lakh,2015,104K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Elite i20 Sportz 1.4 CRDI,5.99 Lakh,2014,43K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai Creta 1.6 SX Plus Petrol,8.93 Lakh,2015,87K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Honda City SV,5.50 Lakh,2014,70K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Swift Dzire VDI,4.80 Lakh,2013,69K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai Venue SX 1.4 CRDI,9.27 Lakh,2019,75K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Swift VXI,6.69 Lakh,2022,67K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Honda City VX CVT,6.44 Lakh,2014,65K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,7.19 Lakh,2021,8K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai Creta SX Diesel,14.99 Lakh,2020,60K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Kia Seltos HTX D,15.89 Lakh,2021,19K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Tata Safari XZA Plus,22.37 Lakh,2021,24K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
MG Motors Hector 2.0 Sharp,14.76 Lakh,2019,95K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Kia Seltos HTX IVT G,14.23 Lakh,2020,47K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Honda WR-V i-DTEC VX,11.29 Lakh,2022,26K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,6.98 Lakh,2021,25K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Tata Tigor Revotron XZA plus AMT,7.99 Lakh,2022,6K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Vitara Brezza ZXI Plus AT,10.26 Lakh,2020,30K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
MG Motors Astor Sharp EX 1.5 MT,12.84 Lakh,2022,29K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Kia Sonet HTX 1.5,11.77 Lakh,2021,16K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Ford Figo Titanium1.5 TDCi,4.85 Lakh,2017,111K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Creta 1.6 SX,9.15 Lakh,2015,78K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Creta 1.6 SX,8.99 Lakh,2015,95K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Verna Transform 1.6 SX VTVT,3.49 Lakh,2011,73K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Verna 1.6 VTVT SX (O) AT,9.95 Lakh,2018,76K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki Swift VXI,4.15 Lakh,2014,99K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Hyundai Creta 1.4 E +,9.18 Lakh,2017,71K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Grand i10 Sportz 1.1 CRDi,3.89 Lakh,2014,72K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
