,CarName,Price,Year,KilometersDriven,Fuel Type,Location
131,Volkswagen Vento Comfortline Diesel AT,6.98 Lakh,2017,51K km,Diesel,"Spinny Hub, Seawoods, Navi Mumbai"
132,Maruti Suzuki Eeco AC CNG 5 STR,5.76 Lakh,2020,26K km,Petrol+cng,"Spinny Hub, Korum Mall, Thane, Mumbai"
133,Hyundai i20 Sportz 1.2,2.83 Lakh,2011,106K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
134,Maruti Suzuki Ciaz Alpha Petrol,5.75 Lakh,2018,58K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
135,Hyundai Elite i20 Asta 1.2 CNG (Outside fitted),5.73 Lakh,2017,35K km,Petrol+cng,"Spinny Hub, Seawoods, Navi Mumbai"
136,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,6.39 Lakh,2021,20K km,Petrol+cng,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
137,Skoda Fabia Ambition 1.2 MPI,4.02 Lakh,2013,58K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
138,Nissan Micra XV Petrol,3.67 Lakh,2016,22K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
139,Ford Figo Aspire Titanium 1.2 Ti-VCT,5.10 Lakh,2019,34K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
140,Honda City VX (O) MT,5.96 Lakh,2016,99K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
141,Jeep Compass Limited Plus 1.4 Petrol,18.25 Lakh,2020,39K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
142,Volkswagen Tiguan AllSpace 2.0 TSI AT,25.39 Lakh,2019,29K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
143,Maruti Suzuki Celerio ZXI (O) AMT,3.67 Lakh,2016,45K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
144,Maruti Suzuki Baleno Alpha Diesel,7.76 Lakh,2019,31K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
145,Ford EcoSport Titanium + 1.5L Ti-VCT AT,8.12 Lakh,2018,17K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
146,Skoda Slavia Style 1.5L TSI AT,17.88 Lakh,2022,7K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
147,Hyundai Creta 1.6 SX Plus Auto,10.40 Lakh,2016,62K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
148,Honda WR-V VX i-VTEC,7.37 Lakh,2018,16K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
149,Maruti Suzuki Dzire VXI,6.89 Lakh,2021,30K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
150,Hyundai Venue S+ 1.2,8.49 Lakh,2021,18K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
151,Datsun GO T,3.87 Lakh,2019,8K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
152,Hyundai Aura S 1.2 CNG Petrol,6.99 Lakh,2021,30K km,Petrol+cng,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
153,Maruti Suzuki Swift Dzire VXI AT ABS,5.68 Lakh,2016,19K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
154,Hyundai Elite i20 Sportz 1.2,5.45 Lakh,2018,63K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
155,Volkswagen Polo Highline1.2L (P),4.90 Lakh,2015,66K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
156,Maruti Suzuki Ertiga VXI CNG,6.35 Lakh,2014,32K km,Petrol+cng,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
157,Honda City VX CVT,6.49 Lakh,2015,56K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
158,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT,4.54 Lakh,2014,22K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
